Player,Pos,Age,Tm,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,2P.2,3P.2,%FGA,#,%3PA,3P%,Att.,#.1,Player Reference,Season,League
Wally Szczerbiak,SF,30,SEA,50,1180,0.46,17.0,0.676,0.123,0.096,0.131,0.327,0.324,0.476,0.635,0.408,0.478,0.435,0.428,0.636,0.93,0.006,3,0.193,0.531,0,0,szczewa02,2007-2008,NBA
Wally Szczerbiak,SF,30,CLE,25,556,0.359,16.9,0.751,0.1,0.091,0.124,0.435,0.249,0.357,0.524,0.421,0.385,0.297,0.365,0.732,1.0,0.005,1,0.385,0.35,0,0,szczewa02,2007-2008,NBA
Sebastian Telfair,PG,22,MIN,60,1933,0.401,13.3,0.795,0.264,0.117,0.117,0.297,0.205,0.432,0.483,0.277,0.446,0.442,0.281,0.236,0.938,0.0,0,0.246,0.286,3,0,telfase01,2007-2008,NBA
Jason Terry,SG,30,DAL,82,2579,0.467,16.4,0.64,0.154,0.076,0.139,0.271,0.36,0.519,0.645,0.39,0.493,0.498,0.375,0.481,0.882,0.013,13,0.35,0.386,1,0,terryja01,2007-2008,NBA
Billy Thomas,SF,32,TOT,11,42,0.235,23.9,0.059,0.0,0.0,0.059,0.0,0.941,0.0,,,0.0,,0.25,,1.0,0.0,0,0.375,0.333,0,0,thomabi01,2007-2008,NBA
Billy Thomas,SF,32,NJN,4,8,0.0,25.3,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,,,0.0,0,0.333,0.0,0,0,thomabi01,2007-2008,NBA
Billy Thomas,SF,32,CLE,7,34,0.286,23.5,0.071,0.0,0.0,0.071,0.0,0.929,0.0,,,0.0,,0.308,,1.0,0.0,0,0.385,0.4,0,0,thomabi01,2007-2008,NBA
Kenny Thomas,PF,30,SAC,23,281,0.421,2.8,1.0,0.658,0.289,0.053,0.0,0.0,0.421,0.52,0.273,0.0,,,0.563,,0.105,4,,,0,0,thomake01,2007-2008,NBA
Kurt Thomas,C-PF,35,TOT,70,1584,0.492,11.6,0.997,0.23,0.129,0.232,0.407,0.003,0.494,0.648,0.333,0.5,0.453,0.0,0.79,,0.005,2,0.0,,0,0,thomaku01,2007-2008,NBA
Kurt Thomas,C,35,SEA,42,1060,0.513,11.3,1.0,0.258,0.114,0.218,0.41,0.0,0.513,0.657,0.355,0.525,0.459,,0.755,,0.007,2,,,0,0,thomaku01,2007-2008,NBA
Kurt Thomas,PF,35,SAS,28,524,0.448,12.2,0.992,0.168,0.16,0.264,0.4,0.008,0.452,0.619,0.3,0.455,0.44,0.0,0.875,,0.0,0,0.0,,0,0,thomaku01,2007-2008,NBA
Tim Thomas,PF,30,LAC,63,1940,0.413,15.9,0.616,0.174,0.118,0.167,0.156,0.384,0.479,0.626,0.47,0.364,0.445,0.306,0.654,0.976,0.04,25,0.085,0.13,2,1,thomati01,2007-2008,NBA
Tyrus Thomas,PF,21,CHI,74,1330,0.423,8.2,0.986,0.457,0.13,0.12,0.28,0.014,0.426,0.488,0.404,0.264,0.407,0.167,0.654,1.0,0.145,59,0.5,0.333,0,0,thomaty01,2007-2008,NBA
Al Thornton,PF,24,LAC,79,2158,0.429,12.8,0.851,0.285,0.092,0.147,0.327,0.149,0.447,0.617,0.413,0.352,0.351,0.331,0.544,0.93,0.042,35,0.031,0.25,3,0,thornal01,2007-2008,NBA
Jamaal Tinsley,PG,29,IND,39,1293,0.38,14.9,0.695,0.134,0.201,0.194,0.166,0.305,0.422,0.548,0.505,0.356,0.299,0.284,0.169,0.925,0.0,0,0.099,0.357,1,0,tinslja01,2007-2008,NBA
Alando Tucker,SF,23,PHO,6,48,0.364,8.3,0.818,0.591,0.0,0.091,0.136,0.182,0.389,0.385,,0.5,0.333,0.25,0.571,1.0,0.045,1,0.5,0.0,0,0,tuckeal02,2007-2008,NBA
Ronny Turiaf,C,25,LAL,78,1458,0.474,8.3,0.997,0.438,0.123,0.149,0.287,0.003,0.475,0.644,0.245,0.254,0.43,0.0,0.814,,0.134,49,0.0,,0,0,turiaro01,2007-2008,NBA
Hedo Türkoğlu,SF,28,ORL,82,3026,0.456,13.6,0.66,0.317,0.081,0.126,0.135,0.34,0.485,0.587,0.364,0.392,0.406,0.4,0.246,0.777,0.025,25,0.176,0.479,4,0,turkohe01,2007-2008,NBA
Ime Udoka,PF,30,SAS,73,1316,0.424,16.3,0.56,0.2,0.053,0.104,0.203,0.44,0.467,0.573,0.3,0.513,0.382,0.37,0.745,1.0,0.011,4,0.739,0.369,1,0,udokaim01,2007-2008,NBA
Beno Udrih,PG,25,SAC,65,2080,0.463,12.4,0.806,0.332,0.059,0.154,0.261,0.194,0.482,0.502,0.476,0.541,0.422,0.387,0.258,0.943,0.0,0,0.285,0.487,4,0,udrihbe01,2007-2008,NBA
Anderson Varejão,C,25,CLE,48,1320,0.461,6.3,0.993,0.529,0.197,0.129,0.139,0.007,0.464,0.577,0.31,0.342,0.366,0.0,0.64,,0.041,11,0.0,,1,0,varejan01,2007-2008,NBA
