Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot.1,Off..1,PGA,And1,Blkd,Player Reference,Season,League
Marreese Speights,C,25,MEM,40,579,,,,40%,60%,-2.7,-8.8,17,8,51,6,32,2.0,39,5,19,speigma01,2012-2013,NBA
Marreese Speights,C,25,CLE,39,721,,,,6%,94%,-6.4,-1.5,16,15,42,7,51,5.0,67,4,32,speigma01,2012-2013,NBA
Tiago Splitter,PF,28,SAS,81,1997,,,,41%,59%,10.2,6.8,47,24,86,18,138,15.0,291,26,80,splitti01,2012-2013,NBA
Jerry Stackhouse,SF,38,BRK,37,544,,7%,89%,4%,,-1.0,-3.5,11,9,15,2,5,2.0,85,1,4,stackje01,2012-2013,NBA
Lance Stephenson,SG,22,IND,78,2278,,95%,4%,,,8.8,9.5,58,24,56,13,42,16.0,515,12,34,stephla01,2012-2013,NBA
DeShawn Stevenson,SG,31,ATL,56,1158,,62%,38%,,,-1.5,-2.8,15,6,35,1,7,5.0,113,2,5,stevede01,2012-2013,NBA
Greg Stiemsma,C,27,MIN,76,1209,,,,,100%,-3.5,-1.8,15,18,109,24,26,16.0,62,3,25,stiemgr01,2012-2013,NBA
Julyan Stone,PG,24,DEN,4,28,100%,,,,,13.7,8.5,1,0,1,0,2,0.0,4,0,0,stoneju01,2012-2013,NBA
Amar'e Stoudemire,PF,30,NYK,29,682,,,,52%,48%,2.2,-2.8,5,23,45,8,57,4.0,33,6,32,stoudam01,2012-2013,NBA
Rodney Stuckey,SG,26,DET,76,2171,12%,77%,11%,,,-7.1,-6.2,64,39,62,17,129,12.0,623,34,55,stuckro01,2012-2013,NBA
Jared Sullinger,PF,20,BOS,45,892,,,,66%,35%,2.8,4.2,10,5,78,11,29,6.0,81,5,31,sullija01,2012-2013,NBA
DaJuan Summers,PF,25,LAC,2,7,,,,100%,,0.0,-7.0,0,0,0,0,0,0.0,2,0,0,summeda01,2012-2013,NBA
Jeff Taylor,SF,23,CHA,77,1507,,28%,62%,10%,,-9.0,1.8,18,13,71,2,46,5.0,149,3,39,tayloje03,2012-2013,NBA
Tyshawn Taylor,PG,22,BRK,38,221,86%,14%,,,,-13.1,-16.0,12,8,18,1,9,0.0,50,1,11,tayloty01,2012-2013,NBA
Jeff Teague,PG,24,ATL,80,2628,99%,1%,,,,1.0,1.5,126,61,82,19,92,10.0,1316,20,79,teaguje01,2012-2013,NBA
Marquis Teague,PG,19,CHI,48,392,90%,11%,,,,1.8,1.3,20,11,24,1,7,2.0,138,0,12,teaguma01,2012-2013,NBA
Mirza Teletović,PF,27,BRK,53,499,,,,79%,21%,-2.6,-5.3,5,7,28,2,6,3.0,58,3,10,teletmi01,2012-2013,NBA
Sebastian Telfair,PG,27,TOT,59,980,99%,1%,,,,-1.3,5.8,48,8,46,1,20,13.0,335,2,15,telfase01,2012-2013,NBA
Sebastian Telfair,PG,27,PHO,46,795,100%,,,,,-1.8,6.4,39,7,37,1,17,11.0,250,2,15,telfase01,2012-2013,NBA
Sebastian Telfair,PG,27,TOR,13,185,95%,6%,,,,1.1,2.9,9,1,9,0,3,2.0,85,0,0,telfase01,2012-2013,NBA
Garrett Temple,SG,26,WAS,51,1156,6%,87%,7%,,,-0.1,4.0,39,9,46,5,21,12.0,262,7,12,templga01,2012-2013,NBA
Jason Terry,SG,35,BOS,79,2124,36%,62%,1%,,,-0.6,-0.2,66,18,47,8,38,4.0,442,5,15,terryja01,2012-2013,NBA
Hasheem Thabeet,C,25,OKC,66,770,,,,,100%,10.8,1.3,8,14,63,11,25,5.0,25,6,14,thabeha01,2012-2013,NBA
Isaiah Thomas,PG,23,SAC,79,2122,99%,1%,,,,-3.7,3.7,73,45,51,9,102,11.0,719,26,63,thomais02,2012-2013,NBA
Kurt Thomas,PF,40,NYK,39,392,,,8%,60%,32%,-4.1,-9.6,2,2,25,4,7,5.0,51,1,2,thomaku01,2012-2013,NBA
Lance Thomas,SF,24,NOH,59,646,,2%,64%,30%,4%,-2.7,2.4,4,5,37,3,28,9.0,38,7,16,thomala01,2012-2013,NBA
Malcolm Thomas,PF,24,TOT,12,57,,,2%,75%,23%,36.4,35.8,0,1,4,1,3,0.0,8,0,1,thomama01,2012-2013,NBA
Malcolm Thomas,PF,24,GSW,5,21,,,,54%,46%,96.7,96.1,0,1,0,0,2,0.0,4,0,0,thomama01,2012-2013,NBA
Malcolm Thomas,PF,24,CHI,7,36,,,3%,87%,10%,1.3,0.6,0,0,4,1,1,0.0,4,0,1,thomama01,2012-2013,NBA
Tyrus Thomas,PF,26,CHA,26,360,,,2%,90%,8%,-11.4,-1.5,6,3,31,3,14,2.0,43,5,10,thomaty01,2012-2013,NBA
Jason Thompson,PF,26,SAC,82,2285,,,,82%,18%,-5.3,0.2,41,28,99,23,94,8.0,193,16,71,thompja02,2012-2013,NBA
Klay Thompson,SG,22,GSW,82,2936,,61%,39%,,,1.4,1.1,70,41,108,20,60,8.0,401,4,36,thompkl01,2012-2013,NBA
Tristan Thompson,PF,21,CLE,82,2564,,,,84%,16%,-4.7,1.4,28,36,113,29,135,4.0,255,27,123,thomptr01,2012-2013,NBA
Marcus Thornton,SG,25,SAC,72,1726,6%,83%,11%,,,-9.3,-6.9,29,28,49,5,56,3.0,203,15,29,thornma01,2012-2013,NBA
Jamaal Tinsley,PG,34,UTA,66,1221,100%,,,,,0.8,1.4,78,22,34,2,5,5.0,651,0,10,tinslja01,2012-2013,NBA
Anthony Tolliver,SF,27,ATL,62,963,,1%,74%,26%,,-2.7,-4.2,23,4,38,3,22,5.0,70,2,9,tollian01,2012-2013,NBA
P.J. Tucker,SG,27,PHO,79,1910,,78%,21%,1%,,-3.9,6.0,25,13,63,6,40,9.0,244,5,36,tuckepj01,2012-2013,NBA
Ronny Turiaf,C,30,LAC,65,701,,,,23%,77%,2.7,-5.2,14,9,40,3,28,7.0,78,6,18,turiaro01,2012-2013,NBA
Hedo Türkoğlu,SF,33,ORL,11,189,,2%,62%,36%,,-22.9,-15.9,10,1,6,0,2,1.0,51,2,2,turkohe01,2012-2013,NBA
Evan Turner,SF,24,PHI,82,2892,,25%,71%,4%,,-3.7,-0.3,88,49,97,21,82,14.0,779,13,87,turneev01,2012-2013,NBA
Jeremy Tyler,C,21,TOT,21,68,,,,34%,66%,4.3,3.4,2,3,6,0,2,0.0,2,0,5,tylerje01,2012-2013,NBA
Jeremy Tyler,C,21,GSW,20,63,,,,37%,63%,9.1,8.2,2,3,6,0,2,0.0,2,0,5,tylerje01,2012-2013,NBA
Jeremy Tyler,C,21,ATL,1,5,,,,,100%,-56.9,-57.5,0,0,0,0,0,0.0,0,0,0,tylerje01,2012-2013,NBA
Ekpe Udoh,C,25,MIL,76,1312,,,,37%,63%,-2.2,-0.5,12,14,88,12,54,3.0,97,10,24,udohek01,2012-2013,NBA
Beno Udrih,SG-PG,30,TOT,66,1457,54%,44%,2%,,,-6.5,-2.1,69,26,42,4,38,11.0,675,6,23,udrihbe01,2012-2013,NBA
Beno Udrih,SG,30,MIL,39,719,24%,72%,4%,,,-2.1,-0.3,37,10,20,2,12,8.0,315,3,10,udrihbe01,2012-2013,NBA
Beno Udrih,PG,30,ORL,27,738,83%,17%,,,,-10.8,-3.8,32,16,22,2,26,3.0,360,3,13,udrihbe01,2012-2013,NBA
Jonas Valančiūnas,C,20,TOR,62,1482,,,,,100%,-3.7,-3.4,20,31,107,23,83,5.0,100,15,30,valanjo01,2012-2013,NBA
Anderson Varejão,C,30,CLE,25,901,,,,30%,70%,-4.7,0.8,19,12,31,5,43,8.0,200,9,17,varejan01,2012-2013,NBA
Jarvis Varnado,PF,24,TOT,13,58,,,30%,67%,3%,-20.5,-26.9,1,1,5,2,1,0.0,8,0,2,varnaja01,2012-2013,NBA
Jarvis Varnado,PF,24,BOS,5,18,,,36%,58%,6%,-5.7,-5.3,1,0,1,0,1,0.0,2,0,1,varnaja01,2012-2013,NBA
Jarvis Varnado,PF,24,MIA,8,40,,,27%,71%,2%,-27.2,-36.6,0,1,4,2,0,0.0,6,0,1,varnaja01,2012-2013,NBA
Greivis Vásquez,PG,26,NOH,78,2685,92%,9%,,,,-4.2,1.4,138,64,67,20,68,19.0,1573,23,65,vasqugr01,2012-2013,NBA
Jan Veselý,PF,22,WAS,51,601,,,,93%,7%,-4.3,-1.6,11,10,57,4,15,8.0,62,2,15,veselja01,2012-2013,NBA
Charlie Villanueva,PF,28,DET,69,1092,,,,85%,15%,-4.6,-0.3,20,8,61,3,22,0.0,125,3,10,villach01,2012-2013,NBA
Nikola Vučević,C,22,ORL,77,2559,,,,,100%,-8.2,-1.2,38,33,111,31,62,7.0,323,20,58,vucevni01,2012-2013,NBA
Dwyane Wade*,SG,31,MIA,69,2391,13%,87%,,,,12.8,9.4,109,65,70,11,204,4.0,804,42,36,wadedw01,2012-2013,NBA
Dion Waiters,SG,21,CLE,61,1756,1%,92%,7%,,,-5.0,0.6,50,42,51,14,97,2.0,411,12,70,waitedi01,2012-2013,NBA
Kemba Walker,PG,22,CHA,82,2859,100%,,,,,-9.1,3.4,115,58,62,14,153,32.0,1040,39,103,walkeke02,2012-2013,NBA
John Wall,PG,22,WAS,49,1602,90%,10%,,,,1.0,6.8,91,42,49,11,121,12.0,864,27,44,walljo01,2012-2013,NBA
Gerald Wallace,SF,30,BRK,69,2076,,1%,79%,21%,,4.1,4.5,55,30,42,19,82,30.0,414,11,30,wallage01,2012-2013,NBA
Rasheed Wallace,C,38,NYK,21,296,,,,21%,79%,2.6,-2.0,2,5,33,2,5,1.0,14,0,6,wallara01,2012-2013,NBA
Luke Walton,PF,32,CLE,50,857,,,5%,95%,,-3.1,2.7,41,9,49,1,10,8.0,363,2,9,waltolu01,2012-2013,NBA
Hakim Warrick,PF,30,TOT,28,489,,,1%,96%,3%,-13.1,-3.5,9,10,13,6,40,1.0,54,4,21,warriha01,2012-2013,NBA
Hakim Warrick,PF,30,NOH,1,7,,,,100%,,-31.3,-26.7,0,0,0,0,1,0.0,0,0,0,warriha01,2012-2013,NBA
Hakim Warrick,PF,30,CHA,27,482,,,1%,96%,3%,-12.8,-3.1,9,10,13,6,39,1.0,54,4,21,warriha01,2012-2013,NBA
C.J. Watson,PG,28,BRK,80,1521,100%,,,,,0.6,-2.2,34,17,51,8,37,6.0,373,7,18,watsocj01,2012-2013,NBA
Earl Watson,PG,33,UTA,48,829,100%,,,,,-3.7,-4.4,49,12,42,6,6,6.0,401,1,5,watsoea01,2012-2013,NBA
Maalik Wayns,PG,21,TOT,27,202,96%,5%,,,,-14.8,-13.7,7,3,9,3,7,1.0,66,3,9,waynsma01,2012-2013,NBA
Maalik Wayns,PG,21,PHI,21,165,100%,,,,,-19.1,-16.1,6,2,5,3,6,0.0,50,3,8,waynsma01,2012-2013,NBA
Maalik Wayns,PG,21,LAC,6,37,75%,25%,,,,4.1,-2.9,1,1,4,0,1,1.0,16,0,1,waynsma01,2012-2013,NBA
Martell Webster,SF,26,WAS,76,2200,,17%,81%,2%,,-1.2,3.8,33,21,74,11,94,12.0,322,18,34,webstma02,2012-2013,NBA
David West,PF,32,IND,73,2435,,,,97%,3%,8.3,9.1,65,54,55,24,130,7.0,502,26,62,westda01,2012-2013,NBA
Russell Westbrook,PG,24,OKC,82,2861,99%,1%,,,,10.7,3.5,137,92,46,29,251,3.0,1350,50,74,westbru01,2012-2013,NBA
D.J. White,PF,26,BOS,12,86,,,2%,92%,6%,14.1,14.9,0,0,3,1,5,0.0,8,1,2,whitedj01,2012-2013,NBA
James White,SF,30,NYK,57,435,2%,30%,67%,2%,,-7.2,-13.2,10,2,19,2,8,3.0,73,1,7,whiteja02,2012-2013,NBA
Chris Wilcox,C,30,BOS,61,830,,,,12%,88%,-1.4,-1.1,13,5,77,11,25,6.0,49,6,4,wilcoch01,2012-2013,NBA
Damien Wilkins,SG,33,PHI,61,1095,9%,75%,16%,,,-4.3,-0.9,17,13,30,10,54,5.0,209,11,17,wilkida02,2012-2013,NBA
Deron Williams,PG,28,BRK,78,2842,79%,21%,,,,2.5,2.0,134,52,70,20,120,25.0,1356,26,54,willide01,2012-2013,NBA
Derrick Williams,PF,21,MIN,78,1916,,,2%,83%,15%,-4.6,-4.7,26,37,73,16,138,8.0,112,22,67,willide02,2012-2013,NBA
Lou Williams,SG,26,ATL,39,1119,53%,47%,,,,-0.1,-0.8,51,17,21,2,50,8.0,317,7,23,willilo02,2012-2013,NBA
Marvin Williams,SF,26,UTA,73,1727,,,96%,4%,,-2.8,-4.6,26,19,44,10,35,4.0,167,7,30,willima02,2012-2013,NBA
Mo Williams,PG,30,UTA,46,1418,100%,,,,,-3.0,-4.4,79,30,49,5,19,16.0,630,3,30,willima01,2012-2013,NBA
Reggie Williams,SF,26,CHA,40,380,18%,29%,52%,2%,,-5.7,4.8,14,4,10,0,7,2.0,89,0,2,willire02,2012-2013,NBA
Terrence Williams,SF,25,BOS,24,318,,12%,85%,3%,,-1.8,-1.4,14,3,8,1,11,1.0,94,5,5,willite01,2012-2013,NBA
Metta World Peace,SF,33,LAL,75,2530,,1%,83%,16%,,4.4,7.5,31,33,66,22,72,9.0,264,13,56,artesro01,2012-2013,NBA
Brandan Wright,C,25,DAL,64,1149,,,,41%,59%,5.0,8.0,10,13,41,7,52,3.0,84,20,25,wrighbr03,2012-2013,NBA
Chris Wright,SG,23,DAL,3,4,20%,64%,16%,,,-80.0,-79.4,1,0,0,0,0,0.0,0,0,0,wrighch02,2012-2013,NBA
Dorell Wright,SF,27,PHI,79,1783,,,75%,24%,,-5.8,-4.1,34,20,56,3,58,7.0,333,8,16,wrighdo01,2012-2013,NBA
Tony Wroten,SG,19,MEM,35,272,5%,83%,13%,,,-10.7,-16.6,12,6,6,6,14,0.0,91,3,13,wroteto01,2012-2013,NBA
Nick Young,SG,27,PHI,59,1411,9%,65%,26%,1%,,-5.3,-2.6,14,23,41,7,61,12.0,188,12,18,youngni01,2012-2013,NBA
Sam Young,SG,27,IND,56,693,,69%,31%,,,-3.8,-10.5,22,2,28,3,17,4.0,102,3,9,youngsa01,2012-2013,NBA
Thaddeus Young,PF,24,PHI,76,2629,,,,97%,3%,-0.4,9.7,36,39,100,7,93,10.0,283,18,50,youngth01,2012-2013,NBA
Luke Zeller,C,25,PHO,16,58,,,,,100%,-33.4,-26.8,0,0,4,0,0,0.0,6,0,0,zellelu01,2012-2013,NBA
Tyler Zeller,C,23,CLE,77,2033,,,,,100%,-6.9,-3.5,30,27,154,17,62,20.0,224,11,49,zellety01,2012-2013,NBA
Jeff Adrien,PF,25,HOU,8,63,,,,100%,,-12.6,-13.2,2,0,3,0,5,1.0,2,0,2,adrieje01,2011-2012,NBA
Arron Afflalo,SG,26,DEN,62,2086,2%,71%,26%,1%,,1.1,-6.2,24,24,71,18,95,6.0,357,19,62,afflaar01,2011-2012,NBA
Blake Ahearn,PG,27,UTA,4,30,100%,,,,,-19.7,-20.5,4,1,2,0,0,0.0,2,0,0,ahearbl01,2011-2012,NBA
Solomon Alabi,C,23,TOR,14,122,,,,,100%,1.7,5.7,3,0,7,1,4,0.0,7,0,4,alabiso01,2011-2012,NBA
Cole Aldrich,C,23,OKC,26,173,,,,,100%,-6.9,-14.4,3,5,13,0,4,1.0,6,0,2,aldrico01,2011-2012,NBA
LaMarcus Aldridge,PF,26,POR,55,1994,,,,68%,33%,3.5,12.4,22,52,89,21,128,6.0,340,30,28,aldrila01,2011-2012,NBA
Lavoy Allen,PF,22,PHI,41,624,,,,64%,36%,6.3,1.9,11,2,47,3,7,2.0,72,2,10,allenla01,2011-2012,NBA
Ray Allen*,SG,36,BOS,46,1565,,94%,6%,,,2.8,-0.3,36,19,42,11,34,4.0,229,9,18,allenra02,2011-2012,NBA
Tony Allen,SG,30,MEM,58,1525,8%,92%,,,,6.6,8.3,40,33,60,11,79,6.0,167,16,49,allento01,2011-2012,NBA
Morris Almond,SG,26,WAS,4,67,,92%,8%,,,27.2,34.0,0,0,1,1,2,0.0,4,1,0,almonmo01,2011-2012,NBA
Al-Farouq Aminu,SF,21,NOH,66,1477,,1%,88%,12%,,-0.6,6.8,30,30,71,18,55,3.0,141,13,39,aminual01,2011-2012,NBA
Lou Amundson,PF,29,IND,60,753,,,,96%,4%,-2.5,-7.5,15,13,72,6,36,4.0,32,6,29,amundlo01,2011-2012,NBA
Chris Andersen,C,33,DEN,32,486,,,,6%,94%,5.4,2.4,3,7,32,3,32,3.0,13,5,9,anderch01,2011-2012,NBA
Alan Anderson,SF,29,TOR,17,461,,24%,76%,,,-2.0,2.0,8,8,18,3,13,3.0,56,3,7,anderal01,2011-2012,NBA
James Anderson,SG,22,SAS,51,603,,72%,28%,,,8.5,0.8,9,13,20,6,23,1.0,89,2,14,anderja01,2011-2012,NBA
Ryan Anderson,PF,23,ORL,61,1964,,,,93%,7%,6.5,14.6,23,17,67,5,73,14.0,129,16,37,anderry01,2011-2012,NBA
Carmelo Anthony,SF,27,NYK,55,1876,,1%,73%,26%,,2.5,-2.0,58,37,65,29,153,7.0,463,30,72,anthoca01,2011-2012,NBA
Joel Anthony,C,29,MIA,64,1349,,,,,100%,10.3,6.2,8,16,85,9,34,8.0,20,3,22,anthojo01,2011-2012,NBA
Gilbert Arenas,PG,30,MEM,17,211,92%,8%,,,,7.1,5.1,9,2,13,1,4,0.0,41,0,3,arenagi01,2011-2012,NBA
Trevor Ariza,SF,26,NOH,41,1350,,11%,87%,2%,,-6.9,-4.6,30,27,32,10,45,7.0,299,9,26,arizatr01,2011-2012,NBA
Ömer Aşık,C,25,CHI,66,971,,,,,100%,9.6,0.1,14,23,65,9,52,7.0,75,11,24,asikom01,2011-2012,NBA
D.J. Augustin,PG,24,CHA,48,1408,77%,23%,,,,-15.4,0.5,65,20,23,15,38,16.0,659,5,42,augusdj01,2011-2012,NBA
Gustavo Ayón,PF,26,NOH,54,1088,,,,65%,35%,-1.6,4.0,17,11,48,9,29,6.0,166,11,32,ayongu01,2011-2012,NBA
Jeff Ayres,C,24,IND,20,106,,,,7%,94%,4.1,0.9,1,0,9,1,2,2.0,11,1,4,pendeje02,2011-2012,NBA
Kelenna Azubuike,SG,28,DAL,3,18,,21%,79%,,,-27.0,-28.4,2,1,0,1,0,0.0,0,0,0,azubuke01,2011-2012,NBA
Luke Babbitt,SF,22,POR,40,537,,,50%,50%,,-13.5,-14.8,7,14,25,2,4,1.0,39,0,5,babbilu01,2011-2012,NBA
Renaldo Balkman,SF,27,NYK,14,115,,10%,67%,23%,,0.5,-3.0,2,4,9,0,5,0.0,11,1,0,balkmre01,2011-2012,NBA
Leandro Barbosa,SG,29,TOT,64,1382,7%,93%,,,,-2.3,-0.9,38,29,52,21,51,9.0,227,14,36,barbole01,2011-2012,NBA
Leandro Barbosa,SG,29,TOR,42,946,10%,90%,,,,-3.9,-0.2,27,22,41,14,36,6.0,149,9,24,barbole01,2011-2012,NBA
Leandro Barbosa,SG,29,IND,22,436,,99%,1%,,,1.0,-2.6,11,7,11,7,15,3.0,78,5,12,barbole01,2011-2012,NBA
J.J. Barea,PG,27,MIN,41,1032,100%,,,,,-4.2,-3.2,64,29,15,7,43,35.0,530,8,27,bareajo01,2011-2012,NBA
Andrea Bargnani,C,26,TOR,31,1032,,,,22%,78%,-2.6,1.6,20,21,19,16,79,4.0,132,15,22,bargnan01,2011-2012,NBA
Matt Barnes,SF,31,LAL,63,1440,,16%,84%,1%,,2.4,1.6,43,18,76,7,48,6.0,273,8,30,barnema02,2011-2012,NBA
Earl Barron,C,30,GSW,2,9,,,,,100%,-11.8,-8.2,0,0,3,0,0,0.0,0,0,0,barroea01,2011-2012,NBA
Brandon Bass,PF,26,BOS,59,1868,,,,97%,3%,4.7,4.3,17,26,80,13,72,6.0,133,9,60,bassbr01,2011-2012,NBA
Tony Battie,C,35,PHI,27,295,,,,8%,92%,8.2,3.8,2,1,16,0,1,2.0,37,0,2,battito01,2011-2012,NBA
Shane Battier,SF,33,MIA,65,1499,,32%,65%,3%,,4.9,-3.4,29,2,54,2,6,18.0,182,1,12,battish01,2011-2012,NBA
Nicolas Batum,SF,23,POR,59,1791,,1%,66%,33%,,-1.8,-1.5,45,22,37,10,69,20.0,198,15,38,batumni01,2011-2012,NBA
Jerryd Bayless,PG,23,TOR,31,705,79%,22%,,,,-2.0,2.2,18,20,34,7,36,7.0,262,4,7,bayleje01,2011-2012,NBA
Michael Beasley,SF,23,MIN,47,1087,,,73%,26%,1%,-3.3,-1.9,28,26,42,15,47,1.0,99,9,31,beaslmi01,2011-2012,NBA
Rodrigue Beaubois,PG,23,DAL,53,1151,100%,,,,,1.9,1.0,35,18,51,9,29,1.0,354,9,21,beaubro01,2011-2012,NBA
Marco Belinelli,SG,25,NOH,66,1966,36%,63%,1%,,,-6.6,-6.2,33,27,49,4,47,11.0,214,12,22,belinma01,2011-2012,NBA
Raja Bell,SG,35,UTA,34,796,,100%,1%,,,-1.1,-2.2,13,5,34,2,6,11.0,86,2,4,bellra01,2011-2012,NBA
Keith Benson,C,23,GSW,3,9,,,,,100%,51.7,55.4,0,0,0,0,0,0.0,0,0,0,bensoke02,2011-2012,NBA
Mike Bibby,PG,33,NYK,39,557,100%,,,,,-2.5,-7.1,17,1,22,1,1,7.0,191,0,1,bibbymi01,2011-2012,NBA
Andris Biedriņš,C,25,GSW,47,739,,,,,100%,-8.2,-5.9,3,3,70,5,5,1.0,38,1,1,biedran01,2011-2012,NBA
Chauncey Billups,SG,35,LAC,20,607,18%,73%,9%,,,6.8,4.9,20,11,13,6,27,4.0,178,2,14,billuch01,2011-2012,NBA
Bismack Biyombo,C,19,CHA,63,1455,,,,34%,66%,-16.7,-2.0,12,14,87,16,65,5.0,55,15,33,biyombi01,2011-2012,NBA
DeJuan Blair,PF,22,SAS,64,1363,,,,91%,9%,1.9,-10.5,39,16,77,15,54,4.0,181,13,52,blairde01,2011-2012,NBA
Steve Blake,PG,31,LAL,53,1237,100%,,,,,0.2,-2.1,56,9,35,3,6,19.0,388,0,8,blakest01,2011-2012,NBA
Andray Blatche,PF,25,WAS,26,626,,,,79%,21%,-13.3,-9.1,7,18,21,3,23,3.0,65,4,20,blatcan01,2011-2012,NBA
Eric Bledsoe,PG,22,LAC,40,464,84%,16%,,,,4.1,1.4,23,13,29,7,21,2.0,152,4,5,bledser01,2011-2012,NBA
Keith Bogans,SF,31,NJN,5,94,,8%,90%,1%,,-22.2,-16.0,2,1,7,0,4,1.0,6,3,0,boganke01,2011-2012,NBA
Andrew Bogut,C,27,MIL,12,364,,,,,100%,2.6,2.7,11,8,17,2,11,10.0,70,3,4,bogutan01,2011-2012,NBA
Matt Bonner,PF,31,SAS,65,1326,,,,83%,17%,13.4,9.3,9,0,41,1,6,8.0,148,0,6,bonnema01,2011-2012,NBA
Trevor Booker,PF,24,WAS,50,1261,,,,94%,6%,-6.3,-0.5,23,21,71,8,42,2.0,94,13,12,booketr01,2011-2012,NBA
Carlos Boozer,PF,30,CHI,66,1948,,,,90%,10%,6.2,-8.7,47,30,103,21,73,1.0,283,15,47,boozeca01,2011-2012,NBA
Chris Bosh*,PF,27,MIA,57,2007,,,,49%,51%,10.3,9.6,43,38,57,18,136,5.0,237,26,49,boshch01,2011-2012,NBA
Earl Boykins,PG,35,HOU,8,111,100%,,,,,-7.3,-7.9,4,2,2,0,3,0.0,38,0,2,boykiea01,2011-2012,NBA
Craig Brackins,PF,24,PHI,14,88,,,55%,45%,,-30.0,-35.8,2,1,4,1,1,0.0,18,0,5,brackcr01,2011-2012,NBA
Avery Bradley,PG,21,BOS,64,1368,67%,33%,,,,4.4,2.6,31,34,35,3,39,11.0,199,8,32,bradlav01,2011-2012,NBA
Elton Brand,C,32,PHI,60,1732,,,,47%,53%,6.3,3.3,15,24,106,13,64,0.0,221,16,28,brandel01,2011-2012,NBA
Corey Brewer,SF,25,DEN,59,1287,,11%,86%,4%,,2.5,-1.4,30,17,37,6,59,19.0,194,10,37,breweco01,2011-2012,NBA
Ronnie Brewer,SG,26,CHI,66,1635,,59%,41%,,,8.7,-1.9,26,16,21,7,45,6.0,313,6,26,brewero02,2011-2012,NBA
Jon Brockman,PF,24,MIL,35,239,,,8%,79%,14%,-0.6,-0.9,4,1,14,4,6,12.0,19,1,8,brockjo01,2011-2012,NBA
MarShon Brooks,SG,23,NJN,56,1648,4%,88%,8%,,,-10.9,-8.7,44,36,56,6,69,5.0,296,19,34,brookma01,2011-2012,NBA
Derrick Brown,SF,24,CHA,65,1443,,1%,91%,8%,,-14.7,1.7,16,21,44,3,71,3.0,143,19,41,brownde04,2011-2012,NBA
Kwame Brown,C,29,GSW,9,187,,,,,100%,-5.2,-1.7,4,4,8,4,16,0.0,9,3,5,brownkw01,2011-2012,NBA
Shannon Brown,SG,26,PHO,59,1400,,97%,3%,,,-2.7,-4.3,22,23,30,9,44,4.0,154,7,29,brownsh01,2011-2012,NBA
Kobe Bryant*,SG,33,LAL,58,2232,,99%,1%,,,3.0,5.2,88,78,40,22,177,2.0,580,44,45,bryanko01,2011-2012,NBA
Chase Budinger,SF,23,HOU,58,1298,,20%,77%,3%,,0.8,0.8,32,19,38,2,30,2.0,162,9,30,budinch01,2011-2012,NBA
Alec Burks,SG,20,UTA,59,939,2%,96%,3%,,,-1.9,-3.6,20,15,42,10,62,8.0,116,13,35,burksal01,2011-2012,NBA
Caron Butler,SF,31,LAC,63,1871,,1%,95%,3%,,8.1,12.4,24,19,56,12,45,6.0,178,7,41,butleca01,2011-2012,NBA
Jimmy Butler,SG,22,CHI,42,359,,4%,95%,2%,,16.9,8.3,3,5,13,2,28,0.0,33,4,13,butleji01,2011-2012,NBA
Rasual Butler,SF,32,TOR,34,453,,2%,92%,6%,,-11.4,-9.0,7,3,24,4,4,0.0,44,1,5,butlera01,2011-2012,NBA
Derrick Byars,PF,27,SAS,2,37,,,43%,57%,,-11.0,-19.1,0,0,1,0,0,0.0,3,0,0,byarsde01,2011-2012,NBA
Andrew Bynum,C,24,LAL,60,2112,,,,,100%,1.8,0.7,42,45,63,11,165,2.0,187,40,60,bynuman01,2011-2012,NBA
Will Bynum,PG,29,DET,36,514,98%,2%,,,,-3.7,2.3,27,16,14,6,30,1.0,153,10,18,bynumwi01,2011-2012,NBA
José Calderón,PG,30,TOR,53,1799,99%,1%,,,,-4.7,-2.1,69,23,46,2,15,6.0,1024,5,17,caldejo01,2011-2012,NBA
Marcus Camby,C,37,TOT,59,1352,,,,,100%,2.0,3.5,43,5,77,6,28,5.0,227,10,11,cambyma01,2011-2012,NBA
Marcus Camby,C,37,POR,40,894,,,,,100%,2.1,4.6,35,5,54,5,16,4.0,162,6,8,cambyma01,2011-2012,NBA
Marcus Camby,C,37,HOU,19,458,,,,1%,99%,1.7,1.6,8,0,23,1,12,1.0,65,4,3,cambyma01,2011-2012,NBA
Brian Cardinal,SF,34,DAL,44,277,,4%,61%,35%,,-9.1,-11.3,6,2,21,0,1,2.0,40,0,1,cardibr01,2011-2012,NBA
DeMarre Carroll,SF-PF,25,TOT,24,348,,58%,42%,1%,,0.6,-0.1,7,2,19,2,7,0.0,38,0,12,carrode01,2011-2012,NBA
DeMarre Carroll,PF,25,DEN,4,21,,,93%,7%,,-6.8,-10.2,1,0,0,1,0,0.0,7,0,0,carrode01,2011-2012,NBA
DeMarre Carroll,SF,25,UTA,20,327,,61%,38%,,,1.1,0.6,6,2,19,1,7,0.0,31,0,12,carrode01,2011-2012,NBA
Matt Carroll,SG,31,CHA,53,596,,90%,8%,1%,,-13.7,2.4,13,6,25,4,16,7.0,84,3,14,carroma01,2011-2012,NBA
Anthony Carter,PG,36,TOR,24,209,100%,,,,,-9.7,-6.4,9,7,9,1,3,4.0,74,0,0,cartean01,2011-2012,NBA
