Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot.1,Off..1,PGA,And1,Blkd,Player Reference,Season,League
Daniel Theis,C,27,BOS,65,1566,,,,,100%,6.8,0.5,20,9,114,17,49,19.0,275,15,29,theisda01,2019-2020,NBA
Isaiah Thomas,PG,30,WAS,40,925,100%,,,,,-10.6,-8.3,46,18,35,6,20,8.0,339,2,32,thomais02,2019-2020,NBA
Khyri Thomas,SG,23,DET,8,61,3%,26%,71%,,,-30.0,-26.3,3,0,7,0,1,0.0,8,0,0,thomakh01,2019-2020,NBA
Lance Thomas,PF,31,BRK,7,98,,,12%,79%,8%,-26.0,-26.1,1,2,6,2,3,0.0,16,2,0,thomala01,2019-2020,NBA
Matt Thomas,SG,25,TOR,41,440,56%,40%,4%,,,7.0,0.4,8,1,22,1,4,1.0,54,1,13,thomama02,2019-2020,NBA
Tristan Thompson,PF,28,CLE,57,1721,,,,1%,99%,-9.9,-4.1,26,31,61,22,67,4.0,290,14,65,thomptr01,2019-2020,NBA
Sindarius Thornwell,SF,25,NOP,2,35,3%,52%,45%,,,-5.9,-4.6,1,0,1,1,2,0.0,8,0,1,thornsi01,2019-2020,NBA
Matisse Thybulle,SG,22,PHI,65,1287,14%,64%,22%,,,2.9,0.8,26,11,73,5,17,13.0,190,3,8,thybuma01,2019-2020,NBA
Anthony Tolliver,PF,34,TOT,55,872,,,,65%,35%,-5.6,-5.9,19,5,34,6,14,9.0,109,3,7,tollian01,2019-2020,NBA
Anthony Tolliver,PF,34,POR,33,554,,,,49%,51%,-13.2,-14.6,14,3,28,1,11,6.0,77,3,5,tollian01,2019-2020,NBA
Anthony Tolliver,PF,34,SAC,9,82,,,,86%,14%,-1.2,1.0,2,1,1,1,0,0.0,6,0,0,tollian01,2019-2020,NBA
Anthony Tolliver,PF,34,MEM,13,236,,,,93%,7%,10.6,12.1,3,1,5,4,3,3.0,26,0,2,tollian01,2019-2020,NBA
Juan Toscano-Anderson,SG,26,GSW,13,272,5%,45%,43%,7%,,-15.0,-6.8,8,4,15,1,3,2.0,62,1,7,toscaju01,2019-2020,NBA
Karl-Anthony Towns,C,24,MIN,35,1187,,,,,100%,-2.2,4.0,45,21,51,28,93,7.0,345,33,36,townska01,2019-2020,NBA
Gary Trent Jr.,SF,21,POR,61,1332,,38%,61%,1%,,-2.1,-1.9,8,6,27,4,19,14.0,151,4,11,trentga02,2019-2020,NBA
Allonzo Trier,SG,24,NYK,24,291,37%,62%,1%,,,-12.2,-6.5,12,3,10,4,13,2.0,70,0,7,trieral01,2019-2020,NBA
P.J. Tucker,PF,34,HOU,72,2467,,,4%,70%,26%,3.3,1.0,35,9,121,15,11,42.0,286,2,13,tuckepj01,2019-2020,NBA
Rayjon Tucker,SG,22,UTA,20,161,4%,58%,39%,,,-5.8,-8.5,5,0,4,1,12,10.0,13,2,3,tuckera01,2019-2020,NBA
Evan Turner,SG,31,ATL,19,251,6%,27%,58%,10%,,-12.2,-4.6,18,5,12,1,8,1.0,92,3,4,turneev01,2019-2020,NBA
Myles Turner,C,23,IND,62,1826,,,,,100%,0.7,-3.3,27,20,95,22,86,15.0,177,23,22,turnemy01,2019-2020,NBA
Jarrod Uthoff,PF,26,TOT,7,53,,,16%,57%,26%,10.1,13.7,0,0,2,0,1,0.0,0,0,0,uthofja01,2019-2020,NBA
Jarrod Uthoff,PF,26,MEM,4,14,,,,,100%,34.6,35.5,0,0,1,0,1,0.0,0,0,0,uthofja01,2019-2020,NBA
Jarrod Uthoff,PF,26,WAS,3,39,,,22%,78%,,1.2,5.9,0,0,1,0,0,0.0,0,0,0,uthofja01,2019-2020,NBA
Jonas Valančiūnas,C,27,MEM,70,1845,,,,,100%,0.6,2.7,37,38,97,27,92,4.0,316,17,39,valanjo01,2019-2020,NBA
Denzel Valentine,SF,26,CHI,36,488,,2%,89%,9%,,-5.6,-2.7,18,2,26,1,3,1.0,106,0,2,valende01,2019-2020,NBA
Jarred Vanderbilt,PF,20,TOT,11,46,,,,83%,17%,-26.5,-28.2,3,1,3,1,1,0.0,6,0,0,vandeja01,2019-2020,NBA
Jarred Vanderbilt,PF,20,DEN,9,41,,,,81%,19%,-17.5,-20.0,3,1,3,1,0,0.0,6,0,0,vandeja01,2019-2020,NBA
Jarred Vanderbilt,PF,20,MIN,2,5,,,1%,99%,,-100.0,-95.6,0,0,0,0,1,0.0,0,0,0,vandeja01,2019-2020,NBA
Fred VanVleet,SG,25,TOR,54,1928,44%,56%,,,,5.2,-3.3,60,34,46,18,75,10.0,860,19,51,vanvlfr01,2019-2020,NBA
Gabe Vincent,PG,23,MIA,9,83,52%,46%,2%,,,-17.2,-20.6,0,1,4,0,0,1.0,15,0,3,vincega01,2019-2020,NBA
Noah Vonleh,C,24,TOT,36,377,,,,7%,93%,-8.1,-4.3,7,4,18,7,10,1.0,68,1,10,vonleno01,2019-2020,NBA
Noah Vonleh,C,24,MIN,29,347,,,,7%,93%,-6.9,-2.6,7,3,17,7,9,1.0,62,1,10,vonleno01,2019-2020,NBA
Noah Vonleh,C,24,DEN,7,30,,,,,100%,-21.0,-23.4,0,1,1,0,1,0.0,6,0,0,vonleno01,2019-2020,NBA
Nikola Vučević,C,29,ORL,62,1998,,,,,100%,0.8,4.3,34,27,87,9,76,2.0,530,23,50,vucevni01,2019-2020,NBA
Dean Wade,PF,23,CLE,12,71,,,4%,87%,9%,-7.5,0.6,3,0,3,0,1,0.0,5,1,0,wadede01,2019-2020,NBA
Moritz Wagner,C,22,WAS,45,835,,,,3%,97%,-4.8,-0.3,14,12,70,24,40,38.0,137,6,23,wagnemo01,2019-2020,NBA
Dion Waiters,SG,28,TOT,10,207,22%,66%,12%,,,6.3,1.0,8,4,4,4,8,1.0,52,5,7,waitedi01,2019-2020,NBA
Dion Waiters,SG,28,MIA,3,42,43%,57%,,,,16.8,14.0,0,1,2,2,1,0.0,7,1,4,waitedi01,2019-2020,NBA
