Player Name,Player Reference,Game Reference,Team,Period,Starter,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Hackett,hackeru01,197510260SSL,SSL,game,False,14:00,0,3,.000,0,0,,2,2,1.000,0,5,5,3,1,1,1,0,2,
Harry Rogers,rogerha01,197510260SSL,SSL,game,False,2:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,
James Silas,silasja01,197510280VIR,SAA,game,True,,13,19,.684,0,0,,5,8,.625,,,2,3,2,0,4,4,31,
George Gervin,gervige01,197510280VIR,SAA,game,True,,8,18,.444,0,0,,4,5,.800,,,11,2,1,1,7,4,20,
Billy Paultz,paultbi01,197510280VIR,SAA,game,True,,8,12,.667,0,0,,3,4,.750,,,10,4,0,5,4,4,19,
Larry Kenon,kenonla01,197510280VIR,SAA,game,True,,5,14,.357,0,0,,4,5,.800,,,15,3,1,0,3,0,14,
George Karl,karlge01,197510280VIR,SAA,game,True,,5,7,.714,0,0,,0,0,,,,2,4,1,0,3,2,10,
Coby Dietrick,dietrco01,197510280VIR,SAA,game,False,,2,3,.667,0,0,,2,2,1.000,,,4,2,1,0,1,3,6,
Mike Gale,galemi01,197510280VIR,SAA,game,False,,1,3,.333,0,0,,2,2,1.000,,,3,3,0,3,1,3,4,
Ken Smith,smithke02,197510280VIR,SAA,game,False,,2,7,.286,0,1,.000,0,0,,,,2,0,0,0,1,4,4,
Willie Wise,wisewi01,197510280VIR,VIR,game,True,,10,26,.385,0,0,,7,7,1.000,,,2,1,4,1,1,2,27,
Ticky Burden,burdeti01,197510280VIR,VIR,game,True,,10,25,.400,0,1,.000,4,5,.800,,,2,3,0,0,2,1,24,
Jan van Breda Kolff,vanbrja01,197510280VIR,VIR,game,True,,6,12,.500,0,0,,4,4,1.000,,,17,3,2,0,2,3,16,
Gerald Govan,govange01,197510280VIR,VIR,game,True,,2,7,.286,0,0,,0,0,,,,6,4,1,0,3,1,4,
Dave Twardzik,twardda01,197510280VIR,VIR,game,True,,1,3,.333,0,0,,2,4,.500,,,2,8,1,0,1,3,4,
Johnny Neumann,neumajo01,197510280VIR,VIR,game,False,,5,12,.417,1,3,.333,3,5,.600,,,2,2,2,0,1,3,14,
Mike Jackson,jacksmi01,197510280VIR,VIR,game,False,,3,9,.333,0,0,,2,2,1.000,,,7,0,0,0,2,2,8,
Fatty Taylor,taylofa01,197510280VIR,VIR,game,False,,2,6,.333,0,0,,0,0,,,,5,3,2,0,2,4,4,
Rick Darnell,darneri01,197510280VIR,VIR,game,False,,1,1,1.000,0,0,,0,0,,,,1,0,1,1,1,3,2,
George Gervin,gervige01,197510290NYA,SAA,game,True,,11,22,.500,0,1,.000,9,11,.818,,,8,2,2,3,3,6,31,
Larry Kenon,kenonla01,197510290NYA,SAA,game,True,,10,19,.526,0,0,,4,6,.667,,,14,1,5,0,5,1,24,
Billy Paultz,paultbi01,197510290NYA,SAA,game,True,,7,16,.438,0,0,,5,9,.556,,,15,2,0,5,4,4,19,
