Player Name,Player Reference,Starter,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Game Reference,Team,Period
Collin Sexton,sextoco01,True,27:43,.776,.654,.308,.769,3.8,11.3,7.5,30.8,0.0,0.0,5.4,26.5,162,124,7.4,202401130UTA,UTA,game
Simone Fontecchio,fontesi01,True,23:34,.000,.000,.600,.000,8.9,8.9,8.9,19.4,0.0,0.0,16.7,10.2,63,125,-12.9,202401130UTA,UTA,game
Kris Dunn,dunnkr01,True,16:44,.875,.875,.500,.000,0.0,0.0,0.0,25.8,2.7,0.0,33.3,14.3,116,120,-0.6,202401130UTA,UTA,game
Jordan Clarkson,clarkjo01,False,31:27,.488,.361,.333,.444,6.6,6.6,6.6,18.6,0.0,2.4,8.5,29.9,110,123,-5.9,202401130UTA,UTA,game
Keyonte George,georgke01,False,26:31,.696,.591,.818,.545,0.0,11.8,5.9,16.5,1.7,0.0,6.8,22.1,142,121,4.9,202401130UTA,UTA,game
Ochai Agbaji,agbajoc01,False,18:06,.200,.200,.400,.000,5.8,17.3,11.5,0.0,0.0,4.2,0.0,11.0,63,120,-10.3,202401130UTA,UTA,game
Kelly Olynyk,olynyke01,False,14:58,.250,.250,.125,.000,7.0,27.9,17.4,18.0,0.0,0.0,20.0,26.7,61,122,-19.0,202401130UTA,UTA,game
Walker Kessler,kesslwa01,False,13:32,.410,.500,.000,.500,15.4,30.8,23.1,0.0,0.0,5.6,0.0,14.4,104,116,-8.0,202401130UTA,UTA,game
Talen Horton-Tucker,hortota01,False,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202401130UTA,UTA,game
Luka Šamanić,samanlu01,False,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202401130UTA,UTA,game
Omer Yurtseven,yurtsom01,False,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202401130UTA,UTA,game
Zach LaVine,lavinza01,True,35:44,.512,.438,.625,.500,0.0,15.5,8.6,22.4,1.4,0.0,17.0,14.7,110,119,-5.5,202401130SAS,CHI,game
DeMar DeRozan,derozde01,True,34:25,.503,.474,.263,.105,0.0,10.7,5.9,16.0,0.0,0.0,0.0,25.7,109,124,-6.5,202401130SAS,CHI,game
