Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,PER GAME MP,PER GAME  PTS,PER GAME TRB,PER GAME AST,PER GAME STL,PER GAME BLK,Player Reference,League,Season
Sam Mack,199211070DEN,22,1,40,267,47,118,3,22,45,58,18,48,15,14,5,22,44,142,.398,.136,.776,6.7,3.6,1.2,0.4,0.4,0.1,macksa01,NBA,1992-1993
Don MacLean,199211060CHH,23,1,62,674,157,361,3,6,90,111,33,122,39,11,4,42,82,407,.435,.500,.811,10.9,6.6,2.0,0.6,0.2,0.1,macledo01,NBA,1992-1993
Marlon Maxey,199212030UTA,23,1,43,520,93,169,0,1,45,70,66,164,12,11,18,38,75,231,.550,.000,.643,12.1,5.4,3.8,0.3,0.3,0.4,maxeyma01,NBA,1992-1993
Lee Mayberry,199211060DET,22,1,82,1503,171,375,43,110,39,68,26,118,273,59,7,85,148,424,.456,.391,.574,18.3,5.2,1.4,3.3,0.7,0.1,maybele01,NBA,1992-1993
Oliver Miller,199211070PHO,22,1,56,1069,121,255,0,3,71,100,70,275,118,38,100,108,145,313,.475,.000,.710,19.1,5.6,4.9,2.1,0.7,1.8,milleol01,NBA,1992-1993
Harold Miner,199211070MIA,21,1,73,1383,292,615,3,9,163,214,74,147,73,34,8,92,130,750,.475,.333,.762,18.9,10.3,2.0,1.0,0.5,0.1,minerha01,NBA,1992-1993
Isaiah Morris,199211140DET,23,1,25,102,26,57,0,0,3,4,6,12,4,3,1,8,14,55,.456,,.750,4.1,2.2,0.5,0.2,0.1,0.0,morriis01,NBA,1992-1993
Alonzo Mourning*,199211130IND,22,1,78,2644,572,1119,0,3,495,634,263,805,76,27,271,236,286,1639,.511,.000,.781,33.9,21.0,10.3,1.0,0.3,3.5,mournal01,NBA,1992-1993
Tracy Murray,199211080POR,21,1,48,495,108,260,21,70,35,40,40,83,11,8,5,31,59,272,.415,.300,.875,10.3,5.7,1.7,0.2,0.2,0.1,murratr01,NBA,1992-1993
Melvin Newbern,199301210HOU,25,1,33,311,42,113,1,8,34,60,19,37,57,23,1,32,42,119,.372,.125,.567,9.4,3.6,1.1,1.7,0.7,0.0,newbeme01,NBA,1992-1993
Shaquille O'Neal*,199211060ORL,20,1,81,3071,733,1304,0,2,427,721,342,1122,152,60,286,307,321,1893,.562,.000,.592,37.9,23.4,13.9,1.9,0.7,3.5,onealsh01,NBA,1992-1993
Matt Othick,199211070DEN,23,1,4,39,3,5,2,4,0,2,1,2,7,1,0,4,7,8,.600,.500,.000,9.8,2.0,0.5,1.8,0.3,0.0,othicma01,NBA,1992-1993
Doug Overton,199211150NJN,23,1,45,990,152,323,3,13,59,81,25,106,157,31,6,72,81,366,.471,.231,.728,22.0,8.1,2.4,3.5,0.7,0.1,overtdo01,NBA,1992-1993
Anthony Peeler,199211060LAC,23,1,77,1656,297,634,46,118,162,206,64,179,166,60,14,123,193,802,.468,.390,.786,21.5,10.4,2.3,2.2,0.8,0.2,peelean01,NBA,1992-1993
Brent Price,199211060CHH,24,1,68,859,100,279,8,48,54,68,28,103,154,56,3,85,90,262,.358,.167,.794,12.6,3.9,1.5,2.3,0.8,0.0,pricebr01,NBA,1992-1993
Anthony Pullard,199211070MIL,26,1,8,37,8,18,0,0,1,3,2,8,2,2,2,5,5,17,.444,,.333,4.6,2.1,1.0,0.3,0.3,0.3,pullaan01,NBA,1992-1993
Sean Rooks,199211070DAL,23,1,72,2087,368,747,0,2,234,389,196,536,95,38,81,160,204,970,.493,.000,.602,29.0,13.5,7.4,1.3,0.5,1.1,rooksse01,NBA,1992-1993
Malik Sealy,199211070IND,22,1,58,672,136,319,7,31,51,74,60,112,47,36,7,58,74,330,.426,.226,.689,11.6,5.7,1.9,0.8,0.6,0.1,sealyma01,NBA,1992-1993
Chris Smith,199211060BOS,22,1,80,1266,125,289,2,14,95,120,32,96,196,48,16,68,96,347,.433,.143,.792,15.8,4.3,1.2,2.5,0.6,0.2,smithch03,NBA,1992-1993
Reggie Smith,199211080POR,22,1,23,68,10,27,0,1,3,14,15,21,1,4,1,4,16,23,.370,.000,.214,3.0,1.0,0.9,0.0,0.2,0.0,smithre01,NBA,1992-1993
Andre Spencer,199212280WSB,28,1,20,422,73,163,0,2,41,54,38,81,24,17,7,26,64,187,.448,.000,.759,21.1,9.4,4.1,1.2,0.9,0.4,spencan01,NBA,1992-1993
Elmore Spencer,199211060LAC,23,1,44,280,44,82,0,0,16,32,17,62,8,8,18,26,54,104,.537,,.500,6.4,2.4,1.4,0.2,0.2,0.4,spencel01,NBA,1992-1993
Latrell Sprewell,199211060UTA,22,1,77,2741,449,968,73,198,211,283,79,271,295,126,52,203,166,1182,.464,.369,.746,35.6,15.4,3.5,3.8,1.6,0.7,sprewla01,NBA,1992-1993
Barry Stevens,199303070GSW,30,1,2,6,1,2,0,0,0,0,2,2,0,0,0,0,1,2,.500,,,3.0,1.0,1.0,0.0,0.0,0.0,steveba01,NBA,1992-1993
Bryant Stith,199211070DEN,22,1,39,865,124,278,0,4,99,119,39,124,49,24,5,44,82,347,.446,.000,.832,22.2,8.9,3.2,1.3,0.6,0.1,stithbr01,NBA,1992-1993
Gundars Vētra,199211060BOS,25,1,13,89,19,40,3,3,4,6,4,8,6,2,0,2,12,45,.475,1.000,.667,6.8,3.5,0.6,0.5,0.2,0.0,vetragu01,NBA,1992-1993
Clarence Weatherspoon,199211060PHI,22,1,82,2654,494,1053,1,4,291,408,179,589,147,85,67,176,188,1280,.469,.250,.713,32.4,15.6,7.2,1.8,1.0,0.8,weathcl01,NBA,1992-1993
Marcus Webb,199211250BOS,22,1,9,51,13,25,0,1,13,21,5,10,2,1,2,5,11,39,.520,.000,.619,5.7,4.3,1.1,0.2,0.1,0.2,webbma01,NBA,1992-1993
Robert Werdann,199211080POR,22,1,28,149,18,59,0,1,17,31,23,52,7,6,4,12,38,53,.305,.000,.548,5.3,1.9,1.9,0.3,0.2,0.1,werdaro01,NBA,1992-1993
Corey Williams,199211060CLE,22,1,35,242,31,85,1,3,18,22,19,31,23,4,2,11,24,81,.365,.333,.818,6.9,2.3,0.9,0.7,0.1,0.1,willico01,NBA,1992-1993
Lorenzo Williams,199211080CLE,23,1,27,179,17,36,0,0,2,7,17,55,5,5,17,8,29,36,.472,,.286,6.6,1.3,2.0,0.2,0.2,0.6,willilo01,NBA,1992-1993
Walt Williams,199211060SAC,22,1,59,1673,358,823,61,191,224,302,115,265,178,66,29,179,209,1001,.435,.319,.742,28.4,17.0,4.5,3.0,1.1,0.5,williwa02,NBA,1992-1993
Randy Woods,199211100SAC,22,1,41,174,23,66,3,14,19,26,6,14,40,14,1,16,26,68,.348,.214,.731,4.2,1.7,0.3,1.0,0.3,0.0,woodsra01,NBA,1992-1993
Victor Alexander,199111010DEN,22,1,80,1350,243,459,0,1,103,149,106,336,32,45,62,91,176,589,.529,.000,.691,16.9,7.4,4.2,0.4,0.6,0.8,alexavi01,NBA,1991-1992
Kenny Anderson,199111090NJN,21,1,64,1086,187,480,3,13,73,98,38,127,203,67,9,97,68,450,.390,.231,.745,17.0,7.0,2.0,3.2,1.0,0.1,anderke01,NBA,1991-1992
Greg Anthony,199111010ORL,24,1,82,1510,161,435,8,55,117,158,33,136,314,59,9,98,170,447,.370,.145,.741,18.4,5.5,1.7,3.8,0.7,0.1,anthogr01,NBA,1991-1992
Stacey Augmon,199111020ATL,23,1,82,2505,440,899,1,6,213,320,191,420,201,124,27,181,161,1094,.489,.167,.666,30.5,13.3,5.1,2.5,1.5,0.3,augmost01,NBA,1991-1992
Isaac Austin,199111020IND,22,1,31,112,21,46,0,0,19,30,11,35,5,2,2,8,20,61,.457,,.633,3.6,2.0,1.1,0.2,0.1,0.1,austiis01,NBA,1991-1992
Steve Bardo,199202190SAS,23,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,1.0,0.0,1.0,0.0,0.0,0.0,bardost01,NBA,1991-1992
David Benoit,199111010MIN,23,1,77,1161,175,375,3,14,81,100,105,296,34,19,44,71,124,434,.467,.214,.810,15.1,5.6,3.8,0.4,0.2,0.6,benoida01,NBA,1991-1992
Terrell Brandon,199111010POR,21,1,82,1605,252,601,1,23,100,124,49,162,316,81,22,136,107,605,.419,.043,.806,19.6,7.4,2.0,3.9,1.0,0.3,brandte01,NBA,1991-1992
Kevin Brooks,199111020DEN,22,1,37,270,43,97,2,11,17,21,13,39,11,8,2,18,19,105,.443,.182,.810,7.3,2.8,1.1,0.3,0.2,0.1,brookke01,NBA,1991-1992
Myron Brown,199111170MIN,22,1,4,23,4,6,1,3,0,0,0,3,6,1,0,4,2,9,.667,.333,,5.8,2.3,0.8,1.5,0.3,0.0,brownmy01,NBA,1991-1992
Randy Brown,199111010SAC,23,1,56,535,77,169,0,6,38,58,26,69,59,35,12,42,68,192,.456,.000,.655,9.6,3.4,1.2,1.1,0.6,0.2,brownra02,NBA,1991-1992
Demetrius Calip,199111010HOU,22,1,7,58,4,18,1,5,2,3,1,5,12,1,0,5,8,11,.222,.200,.667,8.3,1.6,0.7,1.7,0.1,0.0,calipde01,NBA,1991-1992
Pete Chilcutt,199111010SAC,23,1,69,817,113,250,2,2,23,28,78,187,38,32,17,41,70,251,.452,1.000,.821,11.8,3.6,2.7,0.6,0.5,0.2,chilcpe01,NBA,1991-1992
Marty Conlon,199111050SEA,24,1,45,381,48,101,0,0,24,32,33,69,12,9,7,27,40,120,.475,,.750,8.5,2.7,1.5,0.3,0.2,0.2,conloma01,NBA,1991-1992
Tom Copa,199111010SAS,27,1,33,132,22,40,0,0,4,13,14,36,3,2,6,8,29,48,.550,,.308,4.0,1.5,1.1,0.1,0.1,0.2,copato01,NBA,1991-1992
Chris Corchiani,199201040DEN,23,1,51,741,77,193,10,37,91,104,18,78,141,45,2,74,94,255,.399,.270,.875,14.5,5.0,1.5,2.8,0.9,0.0,corchch01,NBA,1991-1992
Corey Crowder,199111020IND,22,1,51,328,43,112,13,30,15,18,16,41,17,7,2,13,35,114,.384,.433,.833,6.4,2.2,0.8,0.3,0.1,0.0,crowdco01,NBA,1991-1992
Dale Davis,199111180IND,22,1,64,1301,154,279,0,1,87,152,158,410,30,27,74,49,191,395,.552,.000,.572,20.3,6.2,6.4,0.5,0.4,1.2,davisda01,NBA,1991-1992
Bison Dele,199111200ORL,22,1,48,905,171,324,0,0,95,142,115,272,33,41,53,86,139,437,.528,,.669,18.9,9.1,5.7,0.7,0.9,1.1,delebi01,NBA,1991-1992
Patrick Eddie,199111260NYK,24,1,4,13,2,9,0,0,0,0,0,1,0,0,0,0,3,4,.222,,,3.3,1.0,0.3,0.0,0.0,0.0,eddiepa01,NBA,1991-1992
LeRon Ellis,199111060LAC,22,1,29,103,17,50,0,0,9,19,12,24,1,6,9,11,11,43,.340,,.474,3.6,1.5,0.8,0.0,0.2,0.3,ellisle02,NBA,1991-1992
Rick Fox,199111010BOS,22,1,81,1535,241,525,23,70,139,184,73,220,126,78,30,123,230,644,.459,.329,.755,19.0,8.0,2.7,1.6,1.0,0.4,foxri01,NBA,1991-1992
Chris Gatling,199111010DEN,24,1,54,612,117,206,0,4,72,109,75,182,16,31,36,44,101,306,.568,.000,.661,11.3,5.7,3.4,0.3,0.6,0.7,gatlich01,NBA,1991-1992
Paul Graham,199111080BOS,24,1,78,1718,305,682,55,141,126,170,72,231,175,96,21,91,193,791,.447,.390,.741,22.0,10.1,3.0,2.2,1.2,0.3,grahapa01,NBA,1991-1992
Sean Green,199111020IND,21,1,35,256,62,158,2,10,15,28,22,42,22,13,6,27,31,141,.392,.200,.536,7.3,4.0,1.2,0.6,0.4,0.2,greense01,NBA,1991-1992
Carl Herrera,199111120DAL,25,1,43,566,83,161,0,1,25,44,33,99,27,16,25,37,60,191,.516,.000,.568,13.2,4.4,2.3,0.6,0.4,0.6,herreca01,NBA,1991-1992
Donald Hodge,199111010SAS,22,1,51,1058,163,328,0,0,100,150,118,275,39,25,23,75,128,426,.497,,.667,20.7,8.4,5.4,0.8,0.5,0.5,hodgedo01,NBA,1991-1992
Brian Howard,199202040LAC,24,1,27,318,54,104,1,2,22,31,17,51,14,11,8,15,55,131,.519,.500,.710,11.8,4.9,1.9,0.5,0.4,0.3,howarbr01,NBA,1991-1992
Cedric Hunter,199202160CHH,27,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,huntece01,NBA,1991-1992
Mike Iuzzolino,199111010SAS,24,1,52,1280,160,355,59,136,107,128,27,98,194,33,1,92,79,486,.451,.434,.836,24.6,9.3,1.9,3.7,0.6,0.0,iuzzomi01,NBA,1991-1992
Larry Johnson,199111010BOS,22,1,82,3047,616,1258,5,22,339,409,323,899,292,81,51,160,225,1576,.490,.227,.829,37.2,19.2,11.0,3.6,1.0,0.6,johnsla02,NBA,1991-1992
Rich King,199111050SEA,22,1,40,213,27,71,0,1,34,45,20,49,12,4,5,18,42,88,.380,.000,.756,5.3,2.2,1.2,0.3,0.1,0.1,kingri01,NBA,1991-1992
Doug Lee,199111020CHH,27,1,46,307,50,116,10,37,10,19,17,35,22,11,1,12,39,120,.431,.270,.526,6.7,2.6,0.8,0.5,0.2,0.0,leedo01,NBA,1991-1992
Luc Longley,199111300DAL,23,1,66,991,114,249,0,0,53,80,67,257,53,35,64,83,157,281,.458,,.663,15.0,4.3,3.9,0.8,0.5,1.0,longllu01,NBA,1991-1992
Kevin Lynch,199112060CHI,23,1,55,819,93,223,3,8,35,46,30,85,83,37,9,44,107,224,.417,.375,.761,14.9,4.1,1.5,1.5,0.7,0.2,lynchke01,NBA,1991-1992
Mark Macon,199111010DEN,22,1,76,2304,333,889,4,30,135,185,80,220,168,154,14,155,242,805,.375,.133,.730,30.3,10.6,2.9,2.2,2.0,0.2,maconma01,NBA,1991-1992
Tharon Mayes,199111010CHI,23,1,24,255,30,99,15,41,24,36,3,16,35,16,2,31,41,99,.303,.366,.667,10.6,4.1,0.7,1.5,0.7,0.1,mayesth01,NBA,1991-1992
Rodney Monroe,199111060CHH,23,1,38,313,53,144,6,27,19,23,12,33,27,12,2,23,19,131,.368,.222,.826,8.2,3.4,0.9,0.7,0.3,0.1,monroro01,NBA,1991-1992
Tracy Moore,199201240ORL,26,1,42,782,130,325,30,84,65,78,31,82,48,32,4,44,97,355,.400,.357,.833,18.6,8.5,2.0,1.1,0.8,0.1,mooretr01,NBA,1991-1992
Eric Murdock,199111020IND,23,1,50,478,76,183,5,26,46,61,21,54,92,30,7,50,52,203,.415,.192,.754,9.6,4.1,1.1,1.8,0.6,0.1,murdoer01,NBA,1991-1992
Dikembe Mutombo*,199111010DEN,25,1,71,2716,428,869,0,0,321,500,316,870,156,43,210,252,273,1177,.493,,.642,38.3,16.6,12.3,2.2,0.6,3.0,mutomdi01,NBA,1991-1992
Jimmy Oliver,199111010POR,22,1,27,252,39,98,1,9,17,22,9,27,20,9,2,9,22,96,.398,.111,.773,9.3,3.6,1.0,0.7,0.3,0.1,oliveji01,NBA,1991-1992
Billy Owens,199111050CHI,22,1,80,2510,468,891,1,9,204,312,243,639,188,90,65,179,276,1141,.525,.111,.654,31.4,14.3,8.0,2.4,1.1,0.8,owensbi01,NBA,1991-1992
Keith Owens,199111080PHO,22,1,20,80,9,32,0,0,8,10,8,15,3,5,4,2,11,26,.281,,.800,4.0,1.3,0.8,0.2,0.3,0.2,owenske01,NBA,1991-1992
Robert Pack,199111020POR,22,1,72,894,115,272,0,10,102,127,32,97,140,40,4,92,101,332,.423,.000,.803,12.4,4.6,1.3,1.9,0.6,0.1,packro01,NBA,1991-1992
Elliot Perry,199111010SAC,22,1,50,437,49,129,1,7,27,41,14,39,78,34,3,50,36,126,.380,.143,.659,8.7,2.5,0.8,1.6,0.7,0.1,perryel01,NBA,1991-1992
Bobby Phills,199203220CLE,22,1,10,65,12,28,0,2,7,11,4,8,4,3,1,8,3,31,.429,.000,.636,6.5,3.1,0.8,0.4,0.3,0.1,phillbo01,NBA,1991-1992
Mark Randall,199111010CHI,24,1,54,441,68,149,3,16,32,43,39,71,33,12,3,25,39,171,.456,.188,.744,8.2,3.2,1.3,0.6,0.2,0.1,randama01,NBA,1991-1992
Stanley Roberts,199111020PHI,21,1,55,1118,236,446,0,1,101,196,113,336,39,22,83,78,221,573,.529,.000,.515,20.3,10.4,6.1,0.7,0.4,1.5,roberst01,NBA,1991-1992
Doug Smith,199111050DAL,22,1,76,1707,291,702,0,11,89,121,129,391,129,62,34,97,259,671,.415,.000,.736,22.5,8.8,5.1,1.7,0.8,0.4,smithdo03,NBA,1991-1992
LaBradford Smith,199111190WSB,22,1,48,708,100,246,2,21,45,56,30,81,99,44,1,63,98,247,.407,.095,.804,14.8,5.1,1.7,2.1,0.9,0.0,smithla02,NBA,1991-1992
Steve Smith,199111020MIA,22,1,61,1806,297,654,40,125,95,127,81,188,278,59,19,152,162,729,.454,.320,.748,29.6,12.0,3.1,4.6,1.0,0.3,smithst01,NBA,1991-1992
Larry Stewart,199111060ORL,23,1,76,2229,303,590,0,3,188,233,186,449,120,51,44,112,225,794,.514,.000,.807,29.3,10.4,5.9,1.6,0.7,0.6,stewala01,NBA,1991-1992
Derek Strong,199203220MIL,23,1,1,12,0,4,0,0,3,4,1,5,1,0,0,1,1,3,.000,,.750,12.0,3.0,5.0,1.0,0.0,0.0,stronde01,NBA,1991-1992
Lamont Strothers,199201110CHH,23,1,4,17,4,12,0,2,2,4,1,1,1,1,1,2,2,10,.333,.000,.500,4.3,2.5,0.3,0.3,0.3,0.3,strotla01,NBA,1991-1992
Greg Sutton,199111010SAS,24,1,67,601,93,240,26,89,34,45,6,47,91,26,9,70,111,246,.388,.292,.756,9.0,3.7,0.7,1.4,0.4,0.1,suttogr01,NBA,1991-1992
Carl Thomas,199111020GSW,22,1,1,31,5,12,1,2,1,2,0,0,1,1,0,1,3,12,.417,.500,.500,31.0,12.0,0.0,1.0,1.0,0.0,thomaca01,NBA,1991-1992
Charles Thomas,199111010DET,22,1,36,156,18,51,2,17,10,15,6,22,22,4,1,17,20,48,.353,.118,.667,4.3,1.3,0.6,0.6,0.1,0.0,thomach01,NBA,1991-1992
Stephen Thompson,199201040DEN,23,1,19,91,14,37,0,1,3,8,11,19,8,6,3,5,9,31,.378,.000,.375,4.8,1.6,1.0,0.4,0.3,0.2,thompst01,NBA,1991-1992
John Turner,199111070HOU,24,1,42,345,43,98,0,0,31,59,38,78,12,6,4,32,40,117,.439,,.525,8.2,2.8,1.9,0.3,0.1,0.1,turnejo01,NBA,1991-1992
João Vianna,199111010SAS,25,1,1,9,1,2,0,0,0,0,0,0,2,0,0,1,3,2,.500,,,9.0,2.0,0.0,2.0,0.0,0.0,viannjo01,NBA,1991-1992
Alaa Abdelnaby,199011020POR,22,1,43,290,55,116,0,0,25,44,27,89,12,4,12,22,39,135,.474,,.568,6.7,3.1,2.1,0.3,0.1,0.3,abdelal01,NBA,1990-1991
Mahmoud Abdul-Rauf,199011100PHO,21,1,67,1505,417,1009,24,100,84,98,34,121,206,55,4,110,149,942,.413,.240,.857,22.5,14.1,1.8,3.1,0.8,0.1,abdulma02,NBA,1990-1991
Keith Askins,199012110NYK,23,1,39,266,34,81,6,25,12,25,30,68,19,16,13,11,46,86,.420,.240,.480,6.8,2.2,1.7,0.5,0.4,0.3,askinke01,NBA,1990-1991
Miloš Babić,199011210CLE,22,1,12,52,6,19,0,0,7,12,6,9,4,1,1,5,7,19,.316,,.583,4.3,1.6,0.8,0.3,0.1,0.1,babicmi01,NBA,1990-1991
Cedric Ball,199011140LAC,22,1,7,26,3,8,0,0,2,2,5,11,0,0,2,2,5,8,.375,,1.000,3.7,1.1,1.6,0.0,0.0,0.3,ballce01,NBA,1990-1991
Lance Blanks,199011020DET,24,1,38,214,26,61,2,16,10,14,4,20,26,9,2,18,35,64,.426,.125,.714,5.6,1.7,0.5,0.7,0.2,0.1,blankla01,NBA,1990-1991
Anthony Bonner,199012110PHO,22,1,34,750,103,230,0,0,44,76,59,161,49,39,5,41,62,250,.448,,.579,22.1,7.4,4.7,1.4,1.1,0.1,bonnean01,NBA,1990-1991
Dee Brown,199011020BOS,22,1,82,1945,284,612,7,34,137,157,41,182,344,83,14,137,161,712,.464,.206,.873,23.7,8.7,2.2,4.2,1.0,0.2,brownde01,NBA,1990-1991
Jud Buechler,199011020IND,22,1,74,859,94,226,1,4,43,66,61,141,51,33,15,26,79,232,.416,.250,.652,11.6,3.1,1.9,0.7,0.4,0.2,buechju01,NBA,1990-1991
Matt Bullard,199101050HOU,23,1,18,63,14,31,0,3,11,17,6,14,2,3,0,3,10,39,.452,.000,.647,3.5,2.2,0.8,0.1,0.2,0.0,bullama01,NBA,1990-1991
Willie Burton,199011020MIA,22,1,76,1928,341,773,4,30,229,293,111,262,107,72,24,144,275,915,.441,.133,.782,25.4,12.0,3.4,1.4,0.9,0.3,burtowi01,NBA,1990-1991
Rick Calloway,199011060SAC,24,1,64,678,75,192,0,2,55,79,25,78,61,22,7,51,98,205,.391,.000,.696,10.6,3.2,1.2,1.0,0.3,0.1,callori01,NBA,1990-1991
Elden Campbell,199011030SAS,22,1,52,380,56,123,0,0,32,49,40,96,10,11,38,16,71,144,.455,,.653,7.3,2.8,1.8,0.2,0.2,0.7,campbel01,NBA,1990-1991
Duane Causwell,199011020LAC,22,1,76,1719,210,413,0,0,105,165,141,391,69,49,148,96,225,525,.508,,.636,22.6,6.9,5.1,0.9,0.6,1.9,causwdu01,NBA,1990-1991
Cedric Ceballos,199011020UTA,21,1,63,730,204,419,1,6,110,166,77,150,35,22,5,69,70,519,.487,.167,.663,11.6,8.2,2.4,0.6,0.3,0.1,cebalce01,NBA,1990-1991
Richard Coffey,199011020MIN,25,1,52,320,28,75,0,1,12,22,42,79,3,6,4,5,45,68,.373,.000,.545,6.2,1.3,1.5,0.1,0.1,0.1,cofferi01,NBA,1990-1991
Derrick Coleman,199011020IND,23,1,74,2602,514,1100,13,38,323,442,269,759,163,71,99,217,217,1364,.467,.342,.731,35.2,18.4,10.3,2.2,1.0,1.3,colemde01,NBA,1990-1991
Bimbo Coles,199011020MIA,22,1,82,1355,162,393,6,34,71,95,56,153,232,65,12,98,149,401,.412,.176,.747,16.5,4.9,1.9,2.8,0.8,0.1,colesbi01,NBA,1990-1991
Anthony Cook,199011020DEN,23,1,58,1121,118,283,0,3,71,129,134,326,26,35,72,50,100,307,.417,.000,.550,19.3,5.3,5.6,0.4,0.6,1.2,cookan01,NBA,1990-1991
Tony Dawson,199103080SAC,23,1,4,17,4,7,1,1,0,0,2,2,0,0,0,1,0,9,.571,1.000,,4.3,2.3,0.5,0.0,0.0,0.0,dawsoto01,NBA,1990-1991
Mario Elie,199012280PHO,27,1,33,644,79,159,4,10,75,89,46,110,45,19,10,30,85,237,.497,.400,.843,19.5,7.2,3.3,1.4,0.6,0.3,eliema01,NBA,1990-1991
A.J. English,199011020MIA,23,1,70,1443,251,572,3,31,111,157,66,147,177,25,15,114,127,616,.439,.097,.707,20.6,8.8,2.1,2.5,0.4,0.2,engliaj01,NBA,1990-1991
Danny Ferry,199011020BOS,24,1,81,1661,275,643,23,77,124,152,99,286,142,43,25,120,230,697,.428,.299,.816,20.5,8.6,3.5,1.8,0.5,0.3,ferryda01,NBA,1990-1991
Greg Foster,199011020MIA,22,1,54,606,97,211,0,5,42,61,52,151,37,12,22,45,112,236,.460,.000,.689,11.2,4.4,2.8,0.7,0.2,0.4,fostegr01,NBA,1990-1991
Tate George,199011020IND,22,1,56,594,80,193,0,2,32,40,19,47,104,25,5,42,58,192,.415,.000,.800,10.6,3.4,0.8,1.9,0.4,0.1,georgta01,NBA,1990-1991
Kendall Gill,199011020CHH,22,1,82,1944,376,836,2,14,152,182,105,263,303,104,39,163,186,906,.450,.143,.835,23.7,11.0,3.2,3.7,1.3,0.5,gillke01,NBA,1990-1991
Gerald Glass,199011020MIN,23,1,51,606,149,340,2,17,52,76,54,102,42,28,9,41,76,352,.438,.118,.684,11.9,6.9,2.0,0.8,0.5,0.2,glassge01,NBA,1990-1991
Dan Godfread,199012300MIN,23,1,10,20,5,12,0,1,3,4,0,2,0,1,4,0,5,13,.417,.000,.750,2.0,1.3,0.2,0.0,0.1,0.4,godfrda01,NBA,1990-1991
Jim Grandholm,199011280DAL,30,1,26,168,30,58,9,17,10,21,20,50,8,2,8,11,33,79,.517,.529,.476,6.5,3.0,1.9,0.3,0.1,0.3,grandji01,NBA,1990-1991
Tony Harris,199102010PHI,23,1,6,41,4,16,0,2,2,4,0,1,0,1,0,3,5,10,.250,.000,.500,6.8,1.7,0.2,0.0,0.2,0.0,harrito01,NBA,1990-1991
Steve Henson,199011020DET,22,1,68,690,79,189,18,54,38,42,14,51,131,32,0,43,83,214,.418,.333,.905,10.1,3.1,0.8,1.9,0.5,0.0,hensost01,NBA,1990-1991
Sean Higgins,199011030SAS,22,1,50,464,97,212,3,19,28,33,18,63,35,8,1,49,53,225,.458,.158,.848,9.3,4.5,1.3,0.7,0.2,0.0,higgise01,NBA,1990-1991
Tyrone Hill,199011020DEN,22,1,74,1192,147,299,0,0,96,152,157,383,19,33,30,72,264,390,.492,,.632,16.1,5.3,5.2,0.3,0.4,0.4,hillty01,NBA,1990-1991
Dave Jamerson,199011020POR,23,1,37,202,43,113,5,19,22,27,9,30,27,6,1,20,24,113,.381,.263,.815,5.5,3.1,0.8,0.7,0.2,0.0,jamerda01,NBA,1990-1991
Henry James,199101020CLE,25,1,37,505,112,254,24,60,52,72,26,79,32,15,5,37,59,300,.441,.400,.722,13.6,8.1,2.1,0.9,0.4,0.1,jameshe01,NBA,1990-1991
Les Jepsen,199011060GSW,23,1,21,105,11,36,0,1,6,9,17,37,1,1,3,3,16,28,.306,.000,.667,5.0,1.3,1.8,0.0,0.0,0.1,jepsele01,NBA,1990-1991
Alec Kessler,199011020MIA,24,1,78,1259,199,468,0,4,88,131,115,336,31,17,26,108,189,486,.425,.000,.672,16.1,6.2,4.3,0.4,0.2,0.3,kesslal01,NBA,1990-1991
Bo Kimble,199011020LAC,24,1,62,1004,159,418,19,65,92,119,42,119,76,30,8,77,158,429,.380,.292,.773,16.2,6.9,1.9,1.2,0.5,0.1,kimblbo01,NBA,1990-1991
Negele Knight,199011210PHO,23,1,64,792,131,308,6,25,71,118,20,71,191,20,7,76,83,339,.425,.240,.602,12.4,5.3,1.1,3.0,0.3,0.1,knighne01,NBA,1990-1991
Kurk Lee,199011020IND,23,1,48,265,19,71,3,15,25,28,7,30,34,11,2,20,39,66,.268,.200,.893,5.5,1.4,0.6,0.7,0.2,0.0,leeku01,NBA,1990-1991
Marcus Liberty,199011020DEN,22,1,76,1171,216,513,17,57,58,92,117,221,64,48,19,71,153,507,.421,.298,.630,15.4,6.7,2.9,0.8,0.6,0.3,liberma01,NBA,1990-1991
Ian Lockhart,199011020UTA,23,1,1,2,1,1,0,0,2,2,0,0,0,0,0,0,0,4,1.000,,1.000,2.0,4.0,0.0,0.0,0.0,0.0,lockhia01,NBA,1990-1991
Tony Massenburg,199011030SAS,23,1,35,161,27,60,0,0,28,45,23,58,4,4,9,13,26,82,.450,,.622,4.6,2.3,1.7,0.1,0.1,0.3,masseto01,NBA,1990-1991
Travis Mays,199011060SAC,22,1,64,2145,294,724,72,197,255,331,54,178,253,81,11,159,169,915,.406,.365,.770,33.5,14.3,2.8,4.0,1.3,0.2,maystr01,NBA,1990-1991
Terry Mills,199012010DEN,23,1,55,819,134,288,0,4,47,66,82,229,33,35,29,43,100,315,.465,.000,.712,14.9,5.7,4.2,0.6,0.6,0.5,millste01,NBA,1990-1991
