Game Reference,Series
199605160UTA,Western Conference Semifinals
199604250IND,Eastern Conference First Round
199604270IND,Eastern Conference First Round
199604290ATL,Eastern Conference First Round
199605020ATL,Eastern Conference First Round
199605050IND,Eastern Conference First Round
199604260CHI,Eastern Conference First Round
199604280CHI,Eastern Conference First Round
199605010MIA,Eastern Conference First Round
199604250CLE,Eastern Conference First Round
199604270CLE,Eastern Conference First Round
199605010NYK,Eastern Conference First Round
199604260ORL,Eastern Conference First Round
199604280ORL,Eastern Conference First Round
199604300DET,Eastern Conference First Round
199604250LAL,Western Conference First Round
199604270LAL,Western Conference First Round
199604300HOU,Western Conference First Round
199605020HOU,Western Conference First Round
199604260SAS,Western Conference First Round
199604280SAS,Western Conference First Round
199605010PHO,Western Conference First Round
199605030PHO,Western Conference First Round
199604260SEA,Western Conference First Round
199604280SEA,Western Conference First Round
199604300SAC,Western Conference First Round
199605020SAC,Western Conference First Round
199604250UTA,Western Conference First Round
199604270UTA,Western Conference First Round
199604290POR,Western Conference First Round
199605010POR,Western Conference First Round
199605050UTA,Western Conference First Round
199706010CHI,Finals
199706040CHI,Finals
199706060UTA,Finals
199706080UTA,Finals
199706110UTA,Finals
199706130CHI,Finals
199705200CHI,Eastern Conference Finals
199705220CHI,Eastern Conference Finals
199705240MIA,Eastern Conference Finals
199705260MIA,Eastern Conference Finals
199705280CHI,Eastern Conference Finals
199705190UTA,Western Conference Finals
199705210UTA,Western Conference Finals
199705230HOU,Western Conference Finals
199705250HOU,Western Conference Finals
199705270UTA,Western Conference Finals
199705290HOU,Western Conference Finals
199705060CHI,Eastern Conference Semifinals
199705080CHI,Eastern Conference Semifinals
199705100ATL,Eastern Conference Semifinals
199705110ATL,Eastern Conference Semifinals
199705130CHI,Eastern Conference Semifinals
199705070MIA,Eastern Conference Semifinals
199705090MIA,Eastern Conference Semifinals
199705110NYK,Eastern Conference Semifinals
199705120NYK,Eastern Conference Semifinals
199705140MIA,Eastern Conference Semifinals
199705160NYK,Eastern Conference Semifinals
199705180MIA,Eastern Conference Semifinals
199705050HOU,Western Conference Semifinals
199705070HOU,Western Conference Semifinals
199705090SEA,Western Conference Semifinals
199705110SEA,Western Conference Semifinals
199705130HOU,Western Conference Semifinals
199705150SEA,Western Conference Semifinals
199705170HOU,Western Conference Semifinals
199705040UTA,Western Conference Semifinals
199705060UTA,Western Conference Semifinals
199705080LAL,Western Conference Semifinals
199705100LAL,Western Conference Semifinals
199705120UTA,Western Conference Semifinals
199704250ATL,Eastern Conference First Round
199704270ATL,Eastern Conference First Round
199704290DET,Eastern Conference First Round
199705020DET,Eastern Conference First Round
199705040ATL,Eastern Conference First Round
199704250CHI,Eastern Conference First Round
199704270CHI,Eastern Conference First Round
199704300WSB,Eastern Conference First Round
199704240MIA,Eastern Conference First Round
199704270MIA,Eastern Conference First Round
199704290ORL,Eastern Conference First Round
199705010ORL,Eastern Conference First Round
199705040MIA,Eastern Conference First Round
199704240NYK,Eastern Conference First Round
199704260NYK,Eastern Conference First Round
199704280CHH,Eastern Conference First Round
199704240HOU,Western Conference First Round
199704260HOU,Western Conference First Round
199704290MIN,Western Conference First Round
199704250LAL,Western Conference First Round
199704270LAL,Western Conference First Round
199704300POR,Western Conference First Round
199705020POR,Western Conference First Round
199704250SEA,Western Conference First Round
199704270SEA,Western Conference First Round
199704290PHO,Western Conference First Round
199705010PHO,Western Conference First Round
199705030SEA,Western Conference First Round
199704240UTA,Western Conference First Round
199704260UTA,Western Conference First Round
199704280LAC,Western Conference First Round
199806030UTA,Finals
199806050UTA,Finals
199806070CHI,Finals
199806100CHI,Finals
199806120CHI,Finals
199806140UTA,Finals
199805170CHI,Eastern Conference Finals
199805190CHI,Eastern Conference Finals
199805230IND,Eastern Conference Finals
199805250IND,Eastern Conference Finals
199805270CHI,Eastern Conference Finals
199805290IND,Eastern Conference Finals
199805310CHI,Eastern Conference Finals
199805160UTA,Western Conference Finals
199805180UTA,Western Conference Finals
199805220LAL,Western Conference Finals
199805240LAL,Western Conference Finals
199805030CHI,Eastern Conference Semifinals
199805060CHI,Eastern Conference Semifinals
199805080CHH,Eastern Conference Semifinals
199805100CHH,Eastern Conference Semifinals
199805130CHI,Eastern Conference Semifinals
199805050IND,Eastern Conference Semifinals
199805070IND,Eastern Conference Semifinals
199805090NYK,Eastern Conference Semifinals
199805100NYK,Eastern Conference Semifinals
199805130IND,Eastern Conference Semifinals
199805040SEA,Western Conference Semifinals
199805060SEA,Western Conference Semifinals
199805080LAL,Western Conference Semifinals
199805100LAL,Western Conference Semifinals
199805120SEA,Western Conference Semifinals
199805050UTA,Western Conference Semifinals
199805070UTA,Western Conference Semifinals
199805090SAS,Western Conference Semifinals
199805100SAS,Western Conference Semifinals
199805120UTA,Western Conference Semifinals
199804230CHH,Eastern Conference First Round
199804250CHH,Eastern Conference First Round
199804280ATL,Eastern Conference First Round
199805010ATL,Eastern Conference First Round
199804240CHI,Eastern Conference First Round
199804260CHI,Eastern Conference First Round
199804290NJN,Eastern Conference First Round
199804230IND,Eastern Conference First Round
199804250IND,Eastern Conference First Round
199804270CLE,Eastern Conference First Round
199804300CLE,Eastern Conference First Round
199804240MIA,Eastern Conference First Round
199804260MIA,Eastern Conference First Round
199804280NYK,Eastern Conference First Round
199804300NYK,Eastern Conference First Round
199805030MIA,Eastern Conference First Round
199804240LAL,Western Conference First Round
199804260LAL,Western Conference First Round
199804280POR,Western Conference First Round
199804300POR,Western Conference First Round
199804230PHO,Western Conference First Round
199804250PHO,Western Conference First Round
199804270SAS,Western Conference First Round
199804290SAS,Western Conference First Round
199804240SEA,Western Conference First Round
199804260SEA,Western Conference First Round
199804280MIN,Western Conference First Round
199804300MIN,Western Conference First Round
199805020SEA,Western Conference First Round
199804230UTA,Western Conference First Round
199804250UTA,Western Conference First Round
199804290HOU,Western Conference First Round
199805010HOU,Western Conference First Round
199805030UTA,Western Conference First Round
199906160SAS,Finals
199906180SAS,Finals
199906210NYK,Finals
199906230NYK,Finals
199906250NYK,Finals
199905300IND,Eastern Conference Finals
199906010IND,Eastern Conference Finals
199906050NYK,Eastern Conference Finals
199906070NYK,Eastern Conference Finals
199906090IND,Eastern Conference Finals
199906110NYK,Eastern Conference Finals
199905290SAS,Western Conference Finals
199905310SAS,Western Conference Finals
199906040POR,Western Conference Finals
199906060POR,Western Conference Finals
199905170IND,Eastern Conference Semifinals
199905190IND,Eastern Conference Semifinals
199905210PHI,Eastern Conference Semifinals
199905230PHI,Eastern Conference Semifinals
199905180ATL,Eastern Conference Semifinals
199905200ATL,Eastern Conference Semifinals
199905230NYK,Eastern Conference Semifinals
199905240NYK,Eastern Conference Semifinals
199905180UTA,Western Conference Semifinals
199905200UTA,Western Conference Semifinals
199905220POR,Western Conference Semifinals
199905230POR,Western Conference Semifinals
199905250UTA,Western Conference Semifinals
199905270POR,Western Conference Semifinals
199905170SAS,Western Conference Semifinals
199905190SAS,Western Conference Semifinals
199905220LAL,Western Conference Semifinals
199905230LAL,Western Conference Semifinals
199905080ATL,Eastern Conference First Round
199905100ATL,Eastern Conference First Round
199905120DET,Eastern Conference First Round
199905140DET,Eastern Conference First Round
199905160ATL,Eastern Conference First Round
199905090IND,Eastern Conference First Round
199905110IND,Eastern Conference First Round
199905130MIL,Eastern Conference First Round
199905080MIA,Eastern Conference First Round
199905100MIA,Eastern Conference First Round
199905120NYK,Eastern Conference First Round
199905140NYK,Eastern Conference First Round
199905160MIA,Eastern Conference First Round
199905090ORL,Eastern Conference First Round
199905110ORL,Eastern Conference First Round
199905130PHI,Eastern Conference First Round
199905150PHI,Eastern Conference First Round
199905090LAL,Western Conference First Round
199905110LAL,Western Conference First Round
199905130HOU,Western Conference First Round
199905150HOU,Western Conference First Round
199905080POR,Western Conference First Round
199905100POR,Western Conference First Round
199905120PHO,Western Conference First Round
199905090SAS,Western Conference First Round
199905110SAS,Western Conference First Round
199905130MIN,Western Conference First Round
199905150MIN,Western Conference First Round
199905080UTA,Western Conference First Round
199905100UTA,Western Conference First Round
199905120SAC,Western Conference First Round
199905140SAC,Western Conference First Round
199905160UTA,Western Conference First Round
200006070LAL,Finals
200006090LAL,Finals
200006110IND,Finals
200006140IND,Finals
200006160IND,Finals
200006190LAL,Finals
200005230IND,Eastern Conference Finals
200005250IND,Eastern Conference Finals
200005270NYK,Eastern Conference Finals
200005290NYK,Eastern Conference Finals
200005310IND,Eastern Conference Finals
200006020NYK,Eastern Conference Finals
200005200LAL,Western Conference Finals
200005220LAL,Western Conference Finals
200005260POR,Western Conference Finals
200005280POR,Western Conference Finals
200005300LAL,Western Conference Finals
200006020POR,Western Conference Finals
200006040LAL,Western Conference Finals
200005060IND,Eastern Conference Semifinals
200005080IND,Eastern Conference Semifinals
200005100PHI,Eastern Conference Semifinals
200005130PHI,Eastern Conference Semifinals
200005150IND,Eastern Conference Semifinals
200005190PHI,Eastern Conference Semifinals
200005070MIA,Eastern Conference Semifinals
200005090MIA,Eastern Conference Semifinals
200005120NYK,Eastern Conference Semifinals
200005140NYK,Eastern Conference Semifinals
200005170MIA,Eastern Conference Semifinals
200005190NYK,Eastern Conference Semifinals
200005210MIA,Eastern Conference Semifinals
200005070LAL,Western Conference Semifinals
200005100LAL,Western Conference Semifinals
200005120PHO,Western Conference Semifinals
200005140PHO,Western Conference Semifinals
200005160LAL,Western Conference Semifinals
200005070POR,Western Conference Semifinals
200005090POR,Western Conference Semifinals
200005110UTA,Western Conference Semifinals
200005140UTA,Western Conference Semifinals
200005160POR,Western Conference Semifinals
200004230IND,Eastern Conference First Round
200004270IND,Eastern Conference First Round
200004290MIL,Eastern Conference First Round
200005010MIL,Eastern Conference First Round
200005040IND,Eastern Conference First Round
200004220MIA,Eastern Conference First Round
200004250MIA,Eastern Conference First Round
200004290DET,Eastern Conference First Round
200004230NYK,Eastern Conference First Round
200004260NYK,Eastern Conference First Round
200004300TOR,Eastern Conference First Round
200004220CHH,Eastern Conference First Round
200004240CHH,Eastern Conference First Round
200004280PHI,Eastern Conference First Round
200005010PHI,Eastern Conference First Round
200004230LAL,Western Conference First Round
200004270LAL,Western Conference First Round
200004300SAC,Western Conference First Round
200005020SAC,Western Conference First Round
200005050LAL,Western Conference First Round
200004220SAS,Western Conference First Round
200004250SAS,Western Conference First Round
200004290PHO,Western Conference First Round
200005020PHO,Western Conference First Round
200004230POR,Western Conference First Round
200004260POR,Western Conference First Round
200004300MIN,Western Conference First Round
200005020MIN,Western Conference First Round
200004220UTA,Western Conference First Round
200004240UTA,Western Conference First Round
200004290SEA,Western Conference First Round
200005030SEA,Western Conference First Round
200005050UTA,Western Conference First Round
200106060LAL,Finals
200106080LAL,Finals
200106100PHI,Finals
200106130PHI,Finals
200106150PHI,Finals
200105220PHI,Eastern Conference Finals
200105240PHI,Eastern Conference Finals
200105260MIL,Eastern Conference Finals
200105280MIL,Eastern Conference Finals
200105300PHI,Eastern Conference Finals
200106010MIL,Eastern Conference Finals
200106030PHI,Eastern Conference Finals
200105190SAS,Western Conference Finals
200105210SAS,Western Conference Finals
200105250LAL,Western Conference Finals
200105270LAL,Western Conference Finals
200105060MIL,Eastern Conference Semifinals
200105080MIL,Eastern Conference Semifinals
200105100CHH,Eastern Conference Semifinals
200105130CHH,Eastern Conference Semifinals
200105150MIL,Eastern Conference Semifinals
200105170CHH,Eastern Conference Semifinals
200105200MIL,Eastern Conference Semifinals
200105060PHI,Eastern Conference Semifinals
200105090PHI,Eastern Conference Semifinals
200105110TOR,Eastern Conference Semifinals
200105130TOR,Eastern Conference Semifinals
200105160PHI,Eastern Conference Semifinals
200105180TOR,Eastern Conference Semifinals
200105200PHI,Eastern Conference Semifinals
200105060LAL,Western Conference Semifinals
200105080LAL,Western Conference Semifinals
200105110SAC,Western Conference Semifinals
200105130SAC,Western Conference Semifinals
200105050SAS,Western Conference Semifinals
200105070SAS,Western Conference Semifinals
200105090DAL,Western Conference Semifinals
200105120DAL,Western Conference Semifinals
200105140SAS,Western Conference Semifinals
200104210MIA,Eastern Conference First Round
200104230MIA,Eastern Conference First Round
200104270CHH,Eastern Conference First Round
200104220MIL,Eastern Conference First Round
200104250MIL,Eastern Conference First Round
200104280ORL,Eastern Conference First Round
200105010ORL,Eastern Conference First Round
200104210PHI,Eastern Conference First Round
200104240PHI,Eastern Conference First Round
200104280IND,Eastern Conference First Round
200105020IND,Eastern Conference First Round
200104220NYK,Eastern Conference First Round
200104260NYK,Eastern Conference First Round
200104290TOR,Eastern Conference First Round
200105020TOR,Eastern Conference First Round
200105040NYK,Eastern Conference First Round
200104210UTA,Western Conference First Round
200104240UTA,Western Conference First Round
200104280DAL,Western Conference First Round
200105010DAL,Western Conference First Round
200105030UTA,Western Conference First Round
200104220LAL,Western Conference First Round
200104260LAL,Western Conference First Round
200104290POR,Western Conference First Round
200104220SAC,Western Conference First Round
200104250SAC,Western Conference First Round
200104290PHO,Western Conference First Round
200105020PHO,Western Conference First Round
200104210SAS,Western Conference First Round
200104230SAS,Western Conference First Round
200104280MIN,Western Conference First Round
200104300MIN,Western Conference First Round
200206050LAL,Finals
200206070LAL,Finals
200206090NJN,Finals
200206120NJN,Finals
200205190NJN,Eastern Conference Finals
200205210NJN,Eastern Conference Finals
200205250BOS,Eastern Conference Finals
200205270BOS,Eastern Conference Finals
200205290NJN,Eastern Conference Finals
200205310BOS,Eastern Conference Finals
200205180SAC,Western Conference Finals
200205200SAC,Western Conference Finals
200205240LAL,Western Conference Finals
200205260LAL,Western Conference Finals
200205280SAC,Western Conference Finals
200205310LAL,Western Conference Finals
200206020SAC,Western Conference Finals
200205050DET,Eastern Conference Semifinals
200205080DET,Eastern Conference Semifinals
200205100BOS,Eastern Conference Semifinals
200205120BOS,Eastern Conference Semifinals
200205140DET,Eastern Conference Semifinals
200205050NJN,Eastern Conference Semifinals
200205070NJN,Eastern Conference Semifinals
200205090CHH,Eastern Conference Semifinals
200205120CHH,Eastern Conference Semifinals
200205150NJN,Eastern Conference Semifinals
200205050LAL,Western Conference Semifinals
200205070LAL,Western Conference Semifinals
200205100SAS,Western Conference Semifinals
200205120SAS,Western Conference Semifinals
200205140LAL,Western Conference Semifinals
200205040SAC,Western Conference Semifinals
200205060SAC,Western Conference Semifinals
200205090DAL,Western Conference Semifinals
200205110DAL,Western Conference Semifinals
200205130SAC,Western Conference Semifinals
200204210BOS,Eastern Conference First Round
200204250BOS,Eastern Conference First Round
200204280PHI,Eastern Conference First Round
200205010PHI,Eastern Conference First Round
200205030BOS,Eastern Conference First Round
200204200CHH,Eastern Conference First Round
200204230CHH,Eastern Conference First Round
200204270ORL,Eastern Conference First Round
200204300ORL,Eastern Conference First Round
200204210DET,Eastern Conference First Round
200204240DET,Eastern Conference First Round
200204270TOR,Eastern Conference First Round
200204290TOR,Eastern Conference First Round
200205020DET,Eastern Conference First Round
200204200NJN,Eastern Conference First Round
200204220NJN,Eastern Conference First Round
200204260IND,Eastern Conference First Round
200204300IND,Eastern Conference First Round
200205020NJN,Eastern Conference First Round
200204210DAL,Western Conference First Round
200204240DAL,Western Conference First Round
200204280MIN,Western Conference First Round
200204210LAL,Western Conference First Round
200204250LAL,Western Conference First Round
200204280POR,Western Conference First Round
200204200SAC,Western Conference First Round
200204230SAC,Western Conference First Round
200204270UTA,Western Conference First Round
200204290UTA,Western Conference First Round
200204200SAS,Western Conference First Round
200204220SAS,Western Conference First Round
200204270SEA,Western Conference First Round
200205010SEA,Western Conference First Round
200205030SAS,Western Conference First Round
200306040SAS,Finals
200306060SAS,Finals
200306080NJN,Finals
200306110NJN,Finals
200306130NJN,Finals
200306150SAS,Finals
200305180DET,Eastern Conference Finals
200305200DET,Eastern Conference Finals
200305220NJN,Eastern Conference Finals
200305240NJN,Eastern Conference Finals
200305190SAS,Western Conference Finals
200305210SAS,Western Conference Finals
200305230DAL,Western Conference Finals
200305250DAL,Western Conference Finals
200305270SAS,Western Conference Finals
200305290DAL,Western Conference Finals
200305060DET,Eastern Conference Semifinals
200305080DET,Eastern Conference Semifinals
200305100PHI,Eastern Conference Semifinals
200305110PHI,Eastern Conference Semifinals
200305140DET,Eastern Conference Semifinals
200305160PHI,Eastern Conference Semifinals
200305050NJN,Eastern Conference Semifinals
200305070NJN,Eastern Conference Semifinals
200305090BOS,Eastern Conference Semifinals
200305120BOS,Eastern Conference Semifinals
200305060DAL,Western Conference Semifinals
200305080DAL,Western Conference Semifinals
200305100SAC,Western Conference Semifinals
200305110SAC,Western Conference Semifinals
200305130DAL,Western Conference Semifinals
200305150SAC,Western Conference Semifinals
200305170DAL,Western Conference Semifinals
200305050SAS,Western Conference Semifinals
200305070SAS,Western Conference Semifinals
200305090LAL,Western Conference Semifinals
200305110LAL,Western Conference Semifinals
200305130SAS,Western Conference Semifinals
200305150LAL,Western Conference Semifinals
200304190IND,Eastern Conference First Round
200304210IND,Eastern Conference First Round
200304240BOS,Eastern Conference First Round
200304270BOS,Eastern Conference First Round
200304290IND,Eastern Conference First Round
200305010BOS,Eastern Conference First Round
200304200DET,Eastern Conference First Round
200304230DET,Eastern Conference First Round
200304250ORL,Eastern Conference First Round
200304270ORL,Eastern Conference First Round
200304300DET,Eastern Conference First Round
200305020ORL,Eastern Conference First Round
200305040DET,Eastern Conference First Round
200304190NJN,Eastern Conference First Round
200304220NJN,Eastern Conference First Round
200304240MIL,Eastern Conference First Round
200304260MIL,Eastern Conference First Round
200304290NJN,Eastern Conference First Round
200305010MIL,Eastern Conference First Round
200304200PHI,Eastern Conference First Round
200304230PHI,Eastern Conference First Round
200304260NOH,Eastern Conference First Round
200304280NOH,Eastern Conference First Round
200304300PHI,Eastern Conference First Round
200305020NOH,Eastern Conference First Round
200304190DAL,Western Conference First Round
200304230DAL,Western Conference First Round
200304250POR,Western Conference First Round
200304270POR,Western Conference First Round
200304300DAL,Western Conference First Round
200305020POR,Western Conference First Round
200305040DAL,Western Conference First Round
200304200MIN,Western Conference First Round
200304220MIN,Western Conference First Round
200304240LAL,Western Conference First Round
200304270LAL,Western Conference First Round
200304290MIN,Western Conference First Round
200305010LAL,Western Conference First Round
200304190SAC,Western Conference First Round
200304210SAC,Western Conference First Round
200304260UTA,Western Conference First Round
200304280UTA,Western Conference First Round
200304300SAC,Western Conference First Round
200304190SAS,Western Conference First Round
200304210SAS,Western Conference First Round
200304250PHO,Western Conference First Round
200304270PHO,Western Conference First Round
200304290SAS,Western Conference First Round
200305010PHO,Western Conference First Round
200406060LAL,Finals
200406080LAL,Finals
200406100DET,Finals
200406130DET,Finals
200406150DET,Finals
200405220IND,Eastern Conference Finals
200405240IND,Eastern Conference Finals
200405260DET,Eastern Conference Finals
200405280DET,Eastern Conference Finals
200405300IND,Eastern Conference Finals
200406010DET,Eastern Conference Finals
200405210MIN,Western Conference Finals
200405230MIN,Western Conference Finals
200405250LAL,Western Conference Finals
200405270LAL,Western Conference Finals
200405290MIN,Western Conference Finals
200405310LAL,Western Conference Finals
200405030DET,Eastern Conference Semifinals
200405070DET,Eastern Conference Semifinals
200405090NJN,Eastern Conference Semifinals
200405110NJN,Eastern Conference Semifinals
200405140DET,Eastern Conference Semifinals
200405160NJN,Eastern Conference Semifinals
200405200DET,Eastern Conference Semifinals
200405060IND,Eastern Conference Semifinals
200405080IND,Eastern Conference Semifinals
200405100MIA,Eastern Conference Semifinals
200405120MIA,Eastern Conference Semifinals
200405150IND,Eastern Conference Semifinals
200405180MIA,Eastern Conference Semifinals
200405020SAS,Western Conference Semifinals
200405050SAS,Western Conference Semifinals
200405090LAL,Western Conference Semifinals
200405110LAL,Western Conference Semifinals
200405130SAS,Western Conference Semifinals
200405150LAL,Western Conference Semifinals
200405040MIN,Western Conference Semifinals
200405080MIN,Western Conference Semifinals
200405100SAC,Western Conference Semifinals
200405120SAC,Western Conference Semifinals
200405140MIN,Western Conference Semifinals
200405160SAC,Western Conference Semifinals
200405190MIN,Western Conference Semifinals
200404180DET,Eastern Conference First Round
200404210DET,Eastern Conference First Round
200404240MIL,Eastern Conference First Round
200404260MIL,Eastern Conference First Round
200404290DET,Eastern Conference First Round
200404170IND,Eastern Conference First Round
200404200IND,Eastern Conference First Round
200404230BOS,Eastern Conference First Round
200404250BOS,Eastern Conference First Round
200404180MIA,Eastern Conference First Round
200404210MIA,Eastern Conference First Round
200404240NOH,Eastern Conference First Round
200404270NOH,Eastern Conference First Round
200404300MIA,Eastern Conference First Round
200405020NOH,Eastern Conference First Round
200405040MIA,Eastern Conference First Round
200404170NJN,Eastern Conference First Round
200404200NJN,Eastern Conference First Round
200404220NYK,Eastern Conference First Round
200404250NYK,Eastern Conference First Round
200404170LAL,Western Conference First Round
200404190LAL,Western Conference First Round
200404230HOU,Western Conference First Round
200404250HOU,Western Conference First Round
200404280LAL,Western Conference First Round
200404180MIN,Western Conference First Round
200404210MIN,Western Conference First Round
200404240DEN,Western Conference First Round
200404270DEN,Western Conference First Round
200404300MIN,Western Conference First Round
200404180SAC,Western Conference First Round
200404200SAC,Western Conference First Round
200404240DAL,Western Conference First Round
200404260DAL,Western Conference First Round
200404290SAC,Western Conference First Round
200404170SAS,Western Conference First Round
200404190SAS,Western Conference First Round
200404220MEM,Western Conference First Round
200404250MEM,Western Conference First Round
200506090SAS,Finals
200506120SAS,Finals
200506140DET,Finals
200506160DET,Finals
200506190DET,Finals
200506210SAS,Finals
200506230SAS,Finals
200505230MIA,Eastern Conference Finals
200505250MIA,Eastern Conference Finals
200505290DET,Eastern Conference Finals
200505310DET,Eastern Conference Finals
200506020MIA,Eastern Conference Finals
200506040DET,Eastern Conference Finals
200506060MIA,Eastern Conference Finals
200505220PHO,Western Conference Finals
200505240PHO,Western Conference Finals
200505280SAS,Western Conference Finals
200505300SAS,Western Conference Finals
200506010PHO,Western Conference Finals
200505090DET,Eastern Conference Semifinals
200505110DET,Eastern Conference Semifinals
200505130IND,Eastern Conference Semifinals
200505150IND,Eastern Conference Semifinals
200505170DET,Eastern Conference Semifinals
200505190IND,Eastern Conference Semifinals
200505080MIA,Eastern Conference Semifinals
200505100MIA,Eastern Conference Semifinals
200505120WAS,Eastern Conference Semifinals
200505140WAS,Eastern Conference Semifinals
200505090PHO,Western Conference Semifinals
200505110PHO,Western Conference Semifinals
200505130DAL,Western Conference Semifinals
200505150DAL,Western Conference Semifinals
200505180PHO,Western Conference Semifinals
200505200DAL,Western Conference Semifinals
200505080SAS,Western Conference Semifinals
200505100SAS,Western Conference Semifinals
200505120SEA,Western Conference Semifinals
200505150SEA,Western Conference Semifinals
200505170SAS,Western Conference Semifinals
200505190SEA,Western Conference Semifinals
200504230DET,Eastern Conference First Round
200504260DET,Eastern Conference First Round
200504290PHI,Eastern Conference First Round
200505010PHI,Eastern Conference First Round
200505030DET,Eastern Conference First Round
200504230BOS,Eastern Conference First Round
200504250BOS,Eastern Conference First Round
200504280IND,Eastern Conference First Round
200504300IND,Eastern Conference First Round
200505030BOS,Eastern Conference First Round
200505050IND,Eastern Conference First Round
200505070BOS,Eastern Conference First Round
200504240MIA,Eastern Conference First Round
200504260MIA,Eastern Conference First Round
200504280NJN,Eastern Conference First Round
200505010NJN,Eastern Conference First Round
200504240CHI,Eastern Conference First Round
200504270CHI,Eastern Conference First Round
200504300WAS,Eastern Conference First Round
200505020WAS,Eastern Conference First Round
200505040CHI,Eastern Conference First Round
200505060WAS,Eastern Conference First Round
200504230DAL,Western Conference First Round
200504250DAL,Western Conference First Round
200504280HOU,Western Conference First Round
200504300HOU,Western Conference First Round
200505020DAL,Western Conference First Round
200505050HOU,Western Conference First Round
200505070DAL,Western Conference First Round
200504240PHO,Western Conference First Round
200504270PHO,Western Conference First Round
200504290MEM,Western Conference First Round
200505010MEM,Western Conference First Round
200504240SAS,Western Conference First Round
200504270SAS,Western Conference First Round
200504300DEN,Western Conference First Round
200505020DEN,Western Conference First Round
200505040SAS,Western Conference First Round
200504230SEA,Western Conference First Round
200504260SEA,Western Conference First Round
200504290SAC,Western Conference First Round
200505010SAC,Western Conference First Round
200505030SEA,Western Conference First Round
200606080DAL,Finals
200606110DAL,Finals
200606130MIA,Finals
200606150MIA,Finals
200606180MIA,Finals
200606200DAL,Finals
200605230DET,Eastern Conference Finals
200605250DET,Eastern Conference Finals
200605270MIA,Eastern Conference Finals
200605290MIA,Eastern Conference Finals
200605310DET,Eastern Conference Finals
200606020MIA,Eastern Conference Finals
200605240DAL,Western Conference Finals
200605260DAL,Western Conference Finals
200605280PHO,Western Conference Finals
200605300PHO,Western Conference Finals
200606010DAL,Western Conference Finals
200606030PHO,Western Conference Finals
200605070DET,Eastern Conference Semifinals
200605090DET,Eastern Conference Semifinals
200605130CLE,Eastern Conference Semifinals
200605150CLE,Eastern Conference Semifinals
200605170DET,Eastern Conference Semifinals
200605190CLE,Eastern Conference Semifinals
200605210DET,Eastern Conference Semifinals
200605080MIA,Eastern Conference Semifinals
200605100MIA,Eastern Conference Semifinals
200605120NJN,Eastern Conference Semifinals
200605140NJN,Eastern Conference Semifinals
200605160MIA,Eastern Conference Semifinals
200605070SAS,Western Conference Semifinals
200605090SAS,Western Conference Semifinals
200605130DAL,Western Conference Semifinals
200605150DAL,Western Conference Semifinals
200605170SAS,Western Conference Semifinals
200605190DAL,Western Conference Semifinals
200605220SAS,Western Conference Semifinals
200605080PHO,Western Conference Semifinals
200605100PHO,Western Conference Semifinals
200605120LAC,Western Conference Semifinals
200605140LAC,Western Conference Semifinals
200605160PHO,Western Conference Semifinals
200605180LAC,Western Conference Semifinals
200605220PHO,Western Conference Semifinals
200604220CLE,Eastern Conference First Round
200604250CLE,Eastern Conference First Round
200604280WAS,Eastern Conference First Round
200604300WAS,Eastern Conference First Round
200605030CLE,Eastern Conference First Round
200605050WAS,Eastern Conference First Round
200604230DET,Eastern Conference First Round
200604260DET,Eastern Conference First Round
200604290MIL,Eastern Conference First Round
200605010MIL,Eastern Conference First Round
200605030DET,Eastern Conference First Round
200604220MIA,Eastern Conference First Round
200604240MIA,Eastern Conference First Round
200604270CHI,Eastern Conference First Round
200604300CHI,Eastern Conference First Round
200605020MIA,Eastern Conference First Round
200605040CHI,Eastern Conference First Round
200604230NJN,Eastern Conference First Round
200604250NJN,Eastern Conference First Round
200604270IND,Eastern Conference First Round
200604290IND,Eastern Conference First Round
200605020NJN,Eastern Conference First Round
200605040IND,Eastern Conference First Round
200604230DAL,Western Conference First Round
200604260DAL,Western Conference First Round
200604290MEM,Western Conference First Round
200605010MEM,Western Conference First Round
200604220LAC,Western Conference First Round
200604240LAC,Western Conference First Round
200604270DEN,Western Conference First Round
200604290DEN,Western Conference First Round
200605010LAC,Western Conference First Round
200604230PHO,Western Conference First Round
200604260PHO,Western Conference First Round
200604280LAL,Western Conference First Round
200604300LAL,Western Conference First Round
200605020PHO,Western Conference First Round
200605040LAL,Western Conference First Round
200605060PHO,Western Conference First Round
200604220SAS,Western Conference First Round
200604250SAS,Western Conference First Round
200604280SAC,Western Conference First Round
200604300SAC,Western Conference First Round
200605020SAS,Western Conference First Round
200605050SAC,Western Conference First Round
200706070SAS,Finals
200706100SAS,Finals
200706120CLE,Finals
200706140CLE,Finals
200705210DET,Eastern Conference Finals
200705240DET,Eastern Conference Finals
200705270CLE,Eastern Conference Finals
200705290CLE,Eastern Conference Finals
200705310DET,Eastern Conference Finals
200706020CLE,Eastern Conference Finals
200705200SAS,Western Conference Finals
200705220SAS,Western Conference Finals
200705260UTA,Western Conference Finals
200705280UTA,Western Conference Finals
200705300SAS,Western Conference Finals
200705060CLE,Eastern Conference Semifinals
200705080CLE,Eastern Conference Semifinals
200705120NJN,Eastern Conference Semifinals
200705140NJN,Eastern Conference Semifinals
200705160CLE,Eastern Conference Semifinals
200705180NJN,Eastern Conference Semifinals
200705050DET,Eastern Conference Semifinals
200705070DET,Eastern Conference Semifinals
