Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ,Status,Team Abbr,Current Abbr
Dallas Chaparrals,ABA,1967-68,1972-73,5,408,202,206,0.495,4,0.0,0,0,active,DLC,SAS
Toronto Raptors,NBA,1995-96,2023-24,29,2283,1090,1193,0.477,14,7.0,1,1,active,TOR,TOR
Utah Jazz,NBA,1979-80,2023-24,45,3596,2011,1585,0.559,31,11.0,2,0,active,UTA,UTA
New Orleans Jazz,NBA,1974-75,1978-79,5,410,161,249,0.393,0,0.0,0,0,active,NOJ,UTA
Washington Wizards,NBA,1997-98,2023-24,27,2118,888,1230,0.419,9,1.0,0,0,active,WAS,WAS
Washington Bullets,NBA,1974-75,1996-97,23,1886,887,999,0.47,13,2.0,3,1,active,WSB,WAS
Capital Bullets,NBA,1973-74,1973-74,1,82,47,35,0.573,1,1.0,0,0,active,CAP,WAS
Baltimore Bullets,NBA,1963-64,1972-73,10,813,401,412,0.493,7,4.0,1,0,active,BAL,WAS
Chicago Zephyrs,NBA,1962-63,1962-63,1,80,25,55,0.313,0,0.0,0,0,active,CHZ,WAS
Chicago Packers,NBA,1961-62,1961-62,1,80,18,62,0.225,0,0.0,0,0,active,CHP,WAS
Anderson Packers,NBA,1949-50,1949-50,1,64,37,27,0.578,1,0.0,0,0,defunct,AND,AND
Baltimore Bullets,NBA/BAA,1947-48,1954-55,8,450,158,292,0.351,3,0.0,0,1,defunct,BLB,BLB
Chicago Stags,NBA/BAA,1946-47,1949-50,4,237,145,92,0.612,4,1.0,0,0,defunct,CHS,CHS
Cleveland Rebels,BAA,1946-47,1946-47,1,60,30,30,0.5,1,0.0,0,0,defunct,CLR,CLR
Denver Nuggets,NBA,1949-50,1949-50,1,62,11,51,0.177,0,0.0,0,0,defunct,DNN,DNN
Detroit Falcons,BAA,1946-47,1946-47,1,60,20,40,0.333,0,0.0,0,0,defunct,DTF,DTF
Indianapolis Jets,BAA,1948-49,1948-49,1,60,18,42,0.3,0,0.0,0,0,defunct,INJ,INJ
Indianapolis Olympians,NBA,1949-50,1952-53,4,269,132,137,0.491,4,1.0,0,0,defunct,INO,INO
Kentucky Colonels,ABA,1967-68,1975-76,9,744,448,296,0.602,9,2.0,0,1,defunct,KEN,KEN
Memphis Sounds,ABA,1974-75,1974-75,1,84,27,57,0.321,1,0.0,0,0,defunct,MMS,MMS
Memphis Tams,ABA,1972-73,1973-74,2,168,45,123,0.268,0,0.0,0,0,defunct,MMT,MMS
Memphis Pros,ABA,1970-71,1971-72,2,168,67,101,0.399,1,0.0,0,0,defunct,MMP,MMS
New Orleans Buccaneers,ABA,1967-68,1969-70,3,240,136,104,0.567,2,1.0,0,0,defunct,NOB,MMS
Pittsburgh Condors,ABA,1970-71,1971-72,2,168,61,107,0.363,0,0.0,0,0,defunct,PTC,PTC
Minnesota Pipers,ABA,1968-69,1968-69,1,78,36,42,0.462,1,0.0,0,0,defunct,MNP,PTC
Pittsburgh Pipers,ABA,1967-68,1969-70,2,162,83,79,0.512,1,1.0,0,1,defunct,PTP,PTC
Pittsburgh Ironmen,BAA,1946-47,1946-47,1,60,15,45,0.25,0,0.0,0,0,defunct,PIT,PIT
Providence Steamrollers,BAA,1946-47,1948-49,3,168,46,122,0.274,0,0.0,0,0,defunct,PRO,PRO
San Diego Sails,ABA,1975-76,1975-76,1,11,3,8,0.273,0,,0,0,defunct,SDS,SDS
San Diego Conquistadors,ABA,1972-73,1974-75,3,252,98,154,0.389,2,0.0,0,0,defunct,SDA,SDS
Sheboygan Red Skins,NBA,1949-50,1949-50,1,62,22,40,0.355,1,0.0,0,0,defunct,SHE,SHE
Spirits of St. Louis,ABA,1974-75,1975-76,2,168,67,101,0.399,1,0.0,0,0,defunct,SSL,SSL
Carolina Cougars,ABA,1969-70,1973-74,5,420,215,205,0.512,3,1.0,0,0,defunct,CAR,SSL
Houston Mavericks,ABA,1967-68,1968-69,2,156,52,104,0.333,1,0.0,0,0,defunct,HSM,SSL
St. Louis Bombers,NBA/BAA,1946-47,1949-50,4,237,122,115,0.515,3,1.0,0,0,defunct,STB,STB
The Floridians,ABA,1970-71,1971-72,2,168,73,95,0.435,2,0.0,0,0,defunct,FLO,FLO
Miami Floridians,ABA,1968-69,1969-70,2,162,66,96,0.407,1,0.0,0,0,defunct,MMF,FLO
Minnesota Muskies,ABA,1967-68,1967-68,1,78,50,28,0.641,1,0.0,0,0,defunct,MNM,FLO
Toronto Huskies,BAA,1946-47,1946-47,1,60,22,38,0.367,0,0.0,0,0,defunct,TRH,TRH
Utah Stars,ABA,1970-71,1975-76,6,436,265,171,0.608,5,3.0,0,1,defunct,UTS,UTS
Los Angeles Stars,ABA,1968-69,1969-70,2,162,76,86,0.469,1,0.0,0,0,defunct,LAS,UTS
Anaheim Amigos,ABA,1967-68,1967-68,1,78,25,53,0.321,0,0.0,0,0,defunct,ANA,UTS
Virginia Squires,ABA,1970-71,1975-76,6,503,200,303,0.398,4,1.0,0,0,defunct,VIR,VIR
Washington Capitols,ABA,1969-70,1969-70,1,84,44,40,0.524,1,0.0,0,0,defunct,WSA,VIR
Oakland Oaks,ABA,1967-68,1968-69,2,156,82,74,0.526,1,1.0,0,1,defunct,OAK,VIR
Washington Capitols,NBA/BAA,1946-47,1950-51,5,271,157,114,0.579,4,2.0,0,0,defunct,WSC,WSC
Waterloo Hawks,NBA,1949-50,1949-50,1,62,19,43,0.306,0,0.0,0,0,defunct,WAT,WAT
